match_id,archive_id,n,mean,p10,p50,p90
115548681803406307,grid-3002599-m4,250,-8.090092627968001,-8.634564384,-8.109138080000001,-7.5373805504
116837902961537598,grid-2968613-m1,297,-8.20132966421549,-8.788778713600001,-8.16478688,-7.7295618944
115548681803406312,grid-3002600-m3,380,-8.510409460378947,-9.0063419264,-8.573852160000001,-7.850804224
115548681803406318,grid-3002601-m3,472,-8.054697639050847,-8.59942464,-8.051188544,-7.560478604799999
117030752644841639,grid-2987005-m2,298,-8.117929057718122,-8.6502215104,-8.140647487999999,-7.5832598912
115565004607949377,grid-2980509-m2,265,-8.364951026475472,-8.8875734016,-8.381708992,-7.8171121536
115565004607949384,grid-3000371-m3,305,-8.153928802413114,-8.6838312832,-8.161591168,-7.6174976768
115565671526403073,grid-2973273-m4,275,-9.071821070894545,-9.5762822528,-9.105710016,-8.568249408
115565671526403079,grid-2973274-m4,466,-8.31880066609442,-8.920944032,-8.272764544,-7.816771936
116792888905448369,grid-2975627-m1,490,-7.379658989322449,-8.1096415552,-7.2833264,-6.6884912704
117151111922858552,grid-2999024-m1,279,-7.819288604215053,-8.326588736,-7.840141952,-7.360924979199999
116837902961537605,grid-2968614-m2,450,-7.660768455822223,-8.2390753088,-7.643031936,-7.1081839296
116792888905448376,grid-2975628-m2,294,-8.072857183346938,-8.5814955456,-8.087263008,-7.513129472
116996464901637016,grid-3005563-m2,492,-7.828966235056911,-8.3522465152,-7.793915008,-7.3171521472
116996464901637005,grid-3005569-m3,363,-7.145683609741046,-7.700569024,-7.167086144,-6.5901461887999995
116792888905448382,grid-2975629-m2,488,-7.2199227967213115,-7.739360736,-7.205973024,-6.6619489088
116793933806066959,grid-2965529-m3,274,-8.294340333781022,-8.821825216,-8.331932128,-7.75550864
117030752644841647,grid-2987006-m4,337,-8.29359757559644,-8.8156329344,-8.30589888,-7.7856291328000005
115548681803406325,grid-3002602-m4,436,-7.679290592440368,-8.168171487999999,-7.735053504,-7.100250016
115565004607949400,grid-3000375-m1,247,-8.072543018753036,-8.6329786624,-8.091442944,-7.5388539136
115565004607949404,grid-3000375-m5,288,-7.941073911333332,-8.4361035712,-7.996269472,-7.439364384
116996464901702560,grid-3005570-m4,347,-8.168709255377522,-8.6830419072,-8.213474048,-7.5801245184
115548681803406328,grid-3002603-m1,562,-8.914373632797153,-9.4531201984,-8.856878624,-8.4535402304
116833506932324836,grid-2972362-m3,446,-7.6438803032107625,-8.193935584,-7.620761024,-7.167505952
116996464901636924,grid-2991210-m2,391,-7.430427150567775,-8.157295104,-7.387079168,-6.755469184
116792888905448365,grid-2975625-m3,353,-8.267327585903683,-8.8500544768,-8.293896832,-7.6806309376
117030752644841603,grid-2987017-m2,401,-8.050032522533666,-8.558524992,-8.067267072,-7.490409024
117030752644841611,grid-2987018-m4,287,-7.55864578051568,-8.1918454912,-7.516069056,-7.041824678399999
117030752644841616,grid-2987019-m3,361,-8.399758016,-9.026114176,-8.367883136,-7.83800288
115548681803406299,grid-3002597-m2,232,-8.328723422344828,-9.014030937600001,-8.314879424,-7.8321466176
115548681803406294,grid-3002598-m3,252,-7.89055427631746,-8.410378656,-7.879061952,-7.371255468799999
115565671526403066,grid-2973272-m3,329,-7.627352386528876,-8.1912946944,-7.60810592,-7.1226134528
115564797164345556,grid-2964619-m1,350,-7.996943782034286,-8.5548477376,-8.012599424,-7.5066324416
116793933806066931,grid-2965523-m3,275,-8.184522903738182,-8.7762158848,-8.163207936,-7.6393198208
116520885021783392,grid-2967262-m2,481,-7.53813358250312,-8.149572928,-7.530038208,-6.992547776
116833506932324841,grid-2972363-m2,285,-7.9101143134315794,-8.4169958272,-7.899475008,-7.4470326912
116837902961537589,grid-2968611-m4,348,-8.168032377563218,-8.7769522624,-8.092554464,-7.565503328
116996464901571353,grid-2991216-m3,329,-7.95453779219453,-8.5952743808,-8.014402816,-7.1877527168
117030752644841622,grid-2987021-m3,327,-7.823479024733945,-8.3466505728,-7.853858048,-7.296527961599999
117030752644841629,grid-2987020-m4,327,-8.283486784195718,-8.852905024,-8.324132864,-7.687521408
117030752644841635,grid-2987004-m4,326,-8.439730466944784,-9.020753952,-8.434598912,-7.8321946239999995
115548681803406304,grid-3002599-m1,523,-7.678815272749522,-8.191780531200001,-7.696355008,-7.151793126399999
116837902961537592,grid-2968612-m1,292,-8.004108701369862,-8.5538439552,-8.023898528,-7.510876096
116837902961537599,grid-2968613-m2,277,-7.633337213227437,-8.0998829568,-7.686100032,-7.1501677312
115548681803406313,grid-3002600-m4,377,-7.759028187331565,-8.251981952,-7.7777888,-7.2449312
115548681803406319,grid-3002601-m4,286,-7.924986482125876,-8.475356,-7.889265568,-7.392044608
117030752644841640,grid-2987005-m3,310,-7.759733815535486,-8.3481707264,-7.765430848,-7.1912498432
117212895183030060,grid-3004386-m2,349,-8.354169550120345,-8.9526504832,-8.342808,-7.8209248384
115565004607949378,grid-2980509-m3,555,-8.423461808432432,-8.9680624896,-8.467116992,-7.86768832
115565671526403070,grid-2973273-m1,436,-7.6104430157798175,-8.15575712,-7.632867008,-7.0663953280000005
115565671526403076,grid-2973274-m1,212,-7.389983458113208,-8.0625927296,-7.260228672,-6.8854141184
116996464901636991,grid-3005559-m1,307,-7.881521548508142,-8.770778688,-8.28145408,-7.5932463232
116792888905448370,grid-2975627-m2,326,-7.73336131219632,-8.262694975999999,-7.775280992000001,-7.172730464
117151111922858553,grid-2999024-m2,417,-8.093733397640289,-8.5730055424,-8.134906112,-7.579016396799999
116996464901637009,grid-3005562-m1,308,-8.398604745558442,-9.098897855999999,-8.368221599999998,-7.8795986368
116792888905448377,grid-2975628-m3,335,-8.177710993958208,-8.695287731199999,-8.215173952,-7.6376432512
116996464901702554,grid-3005563-m4,357,-7.70605775327731,-8.2694512768,-7.693246016,-7.2059741312
116792888905448383,grid-2975629-m3,359,-8.293752948768802,-8.800085619199999,-8.322293056,-7.7576555776000005
117030752644841644,grid-2987006-m1,317,-7.678013705085173,-8.240147929599999,-7.663488,-7.17961856
115548681803406322,grid-3002602-m1,349,-8.290472249581661,-8.8478797952,-8.312388992,-7.7061473408
115565004607949389,grid-3000372-m2,408,-8.419025975058824,-8.9301877504,-8.477459488000001,-7.8473785024
115565004607949401,grid-3000375-m2,288,-7.855834689555555,-8.3923968448,-7.890962944,-7.316275456
116996464901702557,grid-3005570-m1,250,-7.610769363456,-8.0357815552,-7.684890528,-6.872568896
116793933806066964,grid-2965530-m2,328,-8.293917382439023,-8.88288304,-8.340957152,-7.713195884799999
115548681803406329,grid-3002603-m2,392,-7.922760440163264,-8.5028267904,-7.897098464,-7.4135189056
116996464901636925,grid-2991210-m3,277,-8.077928815133573,-8.693421939199999,-8.090239872,-7.5485588096
116792888905448366,grid-2975625-m4,436,-8.433324366825689,-8.973679967999999,-8.447109919999999,-7.827404608
117030752644841604,grid-2987017-m3,269,-7.929685429769516,-8.473504576,-7.928404992,-7.3696882943999995
117030752644841612,grid-2987018-m5,274,-7.658978236029197,-8.209156051199999,-7.629526016,-7.133195296
117030752644841617,grid-2987019-m4,200,-8.38646127104,-8.9028660096,-8.361429567999998,-7.9031848384
115548681803406300,grid-3002597-m3,298,-8.263575265503356,-8.8444278016,-8.284648032,-7.690407206400001
115548681803406295,grid-3002598-m4,259,-8.085225066007721,-8.6590108928,-8.073783936,-7.518351795199999
115565671526403067,grid-2973272-m4,254,-8.157804236094488,-8.6096775296,-8.162889503999999,-7.6171892543999995
115564797164345557,grid-2964619-m2,358,-7.5523850057653625,-8.1563296896,-7.541988576,-7.029997036799999
116793933806066934,grid-2965524-m2,350,-7.979191143497142,-8.4393852416,-8.0241544,-7.4886222464
116520885021783393,grid-2967262-m3,293,-8.266773528245734,-8.8373115648,-8.276880128,-7.7320106112
116833506932324842,grid-2972363-m3,349,-7.761923002131804,-8.267129216,-7.673834112,-7.0269645696
116793933806066938,grid-2965527-m2,325,-7.791435341390769,-8.3119401984,-7.815059008,-7.2889125759999995
116996464901636960,grid-2991218-m2,332,-8.100164225349397,-8.5676027968,-8.054514527999999,-7.520943711999999
117030752644841632,grid-2987004-m1,354,-7.999128739977401,-8.620724383999999,-7.995308,-7.4395661376
116793933806066951,grid-2965528-m1,323,-7.773112579962848,-8.257508416,-7.799738944,-7.3102367232
115548681803406305,grid-3002599-m2,317,-7.653181123634068,-8.178090252799999,-7.61776512,-7.1431275776000005
116837902961537593,grid-2968612-m2,411,-7.49383468177129,-8.239025024,-7.784356992,-7.138225088
116837902961537600,grid-2968613-m3,242,-8.184237141685951,-8.7218701376,-8.143353024,-7.6274521536
115548681803406314,grid-3002600-m5,344,-8.12295717116279,-8.668139955200001,-8.132237088,-7.572467264
115548681803406320,grid-3002601-m5,458,-8.341673727860263,-8.8915148032,-8.316018528,-7.8256805248
117030752644841641,grid-2987005-m4,256,-7.809966026,-8.33041248,-7.875760064,-7.231253984
117212895183030062,grid-3004386-m4,213,-7.620081280901409,-8.2330987776,-7.589381888,-7.1771943039999995
115565004607949382,grid-3000371-m1,310,-7.34375863803871,-7.884810304,-7.322919872,-6.7146749056
115565671526403071,grid-2973273-m2,334,-7.823816735041917,-8.2892259968,-7.8259104,-7.3619331392
115565671526403077,grid-2973274-m2,332,-7.929196410795182,-8.5540879936,-7.86560288,-7.3090270912
116996464901636997,grid-3005560-m1,252,-7.9933768957460325,-8.4691911104,-7.99250448,-7.3650711104
116792888905448371,grid-2975627-m3,351,-8.064099521823362,-8.575268992,-8.056663808,-7.530533888
