trees,validation_mae_c
267,7.888381241731814
268,7.888491755076023
269,7.888364882149562
270,7.888422355978405
271,7.888575409495975
272,7.888537123839884
273,7.888914237527711
274,7.889080696130163
275,7.888988037433103
276,7.889303603251275
277,7.889331558787453
278,7.889509459229621
279,7.8894427986488544
280,7.889626376081496
281,7.889937331147134
282,7.889839084573028
283,7.8898607199319235
284,7.889776204042037
285,7.889951357434997
286,7.889846482421205
287,7.889973016349668
288,7.890111054115004
289,7.8901667235350565
290,7.89032253393736
291,7.89047311037544
292,7.890744346234563
293,7.890603249080582
294,7.89072833914594
295,7.890914494027165
296,7.89096033000872
297,7.891090934272955
298,7.891275963345788
299,7.891395058484478
300,7.891633311545234
301,7.891955283309225
302,7.892336412169941
303,7.892460135431903
304,7.89267947428105
305,7.892809016440185
306,7.893213840142376
307,7.893259878204415
308,7.893078399283684
309,7.89312378465157
310,7.893325070989119
311,7.893330546672213
312,7.893628288548518
313,7.8936760469066005
314,7.89355171651019
315,7.893695557231403
316,7.893475500797919
317,7.8933595542108455
318,7.893709011915508
319,7.893497170693179
320,7.893231565900847
321,7.8930298458242705
322,7.893175571574508
323,7.8936147241257775
324,7.894013480698511
325,7.893879540726149
326,7.894277086096356
327,7.89405432976549
328,7.894206485017611
329,7.8941856609987955
330,7.894171651308603
331,7.894186079253468
332,7.894488448895726
333,7.894511949748215
334,7.894629083588364
335,7.894650911148633
336,7.894555280306394
337,7.894824206593677
338,7.894710184113405
339,7.89489288825904
340,7.89536035799806
341,7.895282661961439
342,7.895339343029155
343,7.895247192625919
344,7.895518217160878
345,7.895417806621471
346,7.895394195067949
347,7.8955762566138805
348,7.895492324486499
349,7.895658198388851
350,7.895697917643075
351,7.896032960690777
352,7.896242173543082
353,7.896591429197613
354,7.896927143687142
355,7.8968213483706275
356,7.897038525132122
357,7.896977569084665
358,7.897323283752981
359,7.897222059114721
360,7.8971866576360945
361,7.8974631552847105
362,7.8972927475477945
363,7.897250225315656
364,7.89716619612017
365,7.89735963621524
366,7.897557680219804
367,7.897918362163601
368,7.897866685808366
369,7.8978693747419175
370,7.897850665536301
371,7.897659524189321
372,7.897670386301808
373,7.897635895473247
374,7.897511490084821
375,7.89748261960062
376,7.897306730245466
377,7.897326958716352
378,7.897283769228746
379,7.897161029589979
380,7.897124716714932
381,7.896924193660516
382,7.897321233400552
383,7.89723006612658
384,7.897191663574703
385,7.897092692316515
386,7.8971990346675796
387,7.897661426844373
388,7.897498495272655
389,7.897464680192538
390,7.897518435352155
391,7.8974730584097
392,7.897307197509157
393,7.8973168787705
394,7.897354673466397
395,7.897740990819052
396,7.897677010669503
397,7.897642675185203
398,7.897703724702746
399,7.897749473837969
400,7.898041556047218
401,7.898015704575948
402,7.898088995252343
403,7.898149883000462
404,7.898442537452375
405,7.898590662190659
406,7.898622672526814
407,7.898745795317283
408,7.898812693195431
409,7.899144397516461
410,7.899216400490127
411,7.899253771891668
412,7.899561984415787
413,7.899806256096702
414,7.899999989150848
415,7.900203250991263
416,7.900332708005624
417,7.900455052255443
418,7.900376434118226
419,7.900628746011712
420,7.900761116360838
421,7.900970552235738
422,7.901239018338141
423,7.901607510324274
424,7.901713203356805
425,7.9018414279952
426,7.9019211699260365
427,7.902488516316257
428,7.9025829543809545
429,7.902710195488025
430,7.902915273711628
431,7.903438516311977
432,7.903691619568262
433,7.90369071015202
434,7.9036472944937
435,7.90412369013244
436,7.90409982505555
437,7.904047579182364
438,7.904153125503194
439,7.904111957050426
440,7.9041702987561235
441,7.904111126930968
442,7.904089444163552
443,7.904326874478578
444,7.904314857737002
445,7.90438734637329
446,7.904411893298686
447,7.904681870452028
448,7.905123680081359
449,7.905249704218634
450,7.905202883271226
451,7.905154249625698
452,7.905280001596073
453,7.905332220888363
454,7.905633675589375
455,7.905653937777514
456,7.905713602961035
457,7.905804553594437
458,7.906159203602731
459,7.90622237093917
460,7.906248173362431
461,7.9062907587961515
462,7.906368753601462
463,7.906439764990337
464,7.90646245737216
465,7.906540472275476
466,7.906655615975887
467,7.906694666026741
468,7.906740624630418
469,7.906794146093166
470,7.906744928531769
471,7.906966779406361
472,7.90701664833964
473,7.906983334942283
474,7.9071267278781665
475,7.9073127050101295
476,7.907485378127148
