match,second,live_prior,ds_prior,delta_live_prior,delta_ds_prior
grid-2964617-m1,924,0.49,0.44,0.030778896378679678,0.04608229598959468
grid-2964617-m1,925,0.49,0.44,0.030778896378679678,0.04608229598959468
grid-2964617-m1,945,0.49,0.44,0.029053452854676844,0.04376142655030419
grid-2964617-m1,948,0.49,0.44,0.026742602142460346,0.04320063764184895
grid-2964617-m1,948,0.49,0.44,0.026742602142460346,0.04320063764184895
grid-2964617-m1,950,0.49,0.44,0.027488941100360376,0.04254141954085134
grid-2964617-m1,954,0.49,0.44,0.027826460780433427,0.0429697187040299
grid-2964617-m1,954,0.49,0.44,0.016011720088974096,0.03507447406745087
grid-2964617-m1,956,0.49,0.44,0.013389589448898957,0.033165454875003074
grid-2964617-m1,962,0.49,0.44,0.027114393668034857,0.04269998344113921
grid-2964617-m1,962,0.49,0.44,0.027114393668034857,0.04269998344113921
grid-2964617-m1,964,0.49,0.44,0.027114393668034857,0.04269998344113921
grid-2964617-m1,968,0.49,0.44,0.02703907063822868,0.043587885620722785
grid-2964617-m1,969,0.49,0.44,0.02703907063822868,0.043587885620722785
grid-2964617-m1,985,0.49,0.44,0.022252200503311004,0.04045083074221371
grid-2964617-m1,985,0.49,0.44,0.022252200503311004,0.04045083074221371
grid-2964617-m1,993,0.49,0.44,0.027479241124623938,0.040985315572085165
grid-2964617-m1,999,0.49,0.44,0.01640625061471434,0.03182745133039941
grid-2964617-m1,1002,0.49,0.44,0.027479241124623938,0.040985315572085165
grid-2964617-m1,1004,0.49,0.44,0.026399410712489718,0.040109390379243104
grid-2964617-m1,1005,0.49,0.44,0.026399410712489718,0.040109390379243104
grid-2964617-m1,1005,0.49,0.44,0.026399410712489718,0.040109390379243104
grid-2964617-m1,1007,0.49,0.44,0.027424309422543112,0.04093038387000434
grid-2964617-m1,1011,0.49,0.44,0.027383258238238395,0.04088933268569962
grid-2964617-m1,1018,0.49,0.44,0.027424309422543112,0.04093038387000434
grid-2964617-m1,1021,0.49,0.44,0.027424309422543112,0.04093038387000434
grid-2964617-m1,1032,0.49,0.44,0.027424309422543112,0.04093038387000434
grid-2964617-m1,1038,0.49,0.44,0.022146207547752653,0.040985315572085165
grid-2964617-m1,1048,0.49,0.44,0.021615528816890668,0.03693706105950303
grid-2964617-m1,1048,0.49,0.44,0.021615528816890668,0.03693706105950303
grid-2964617-m1,1051,0.49,0.44,0.022940554208412896,0.03869978998227556
grid-2964617-m1,1052,0.49,0.44,0.0213638828343652,0.03671454007845697
grid-2964617-m1,1064,0.49,0.44,0.023601962218858193,0.04320063764184895
grid-2964617-m1,1068,0.49,0.44,0.023601962218858193,0.04320063764184895
grid-2964617-m1,1070,0.49,0.44,0.023601962218858193,0.04320063764184895
grid-2964617-m1,1072,0.49,0.44,0.02254754844894777,0.04252205372243742
grid-2964617-m1,1094,0.49,0.44,0.02254754844894777,0.04276048035265314
grid-2964617-m1,1095,0.49,0.44,0.02254754844894777,0.04276048035265314
grid-2964617-m1,1096,0.49,0.44,0.02254754844894777,0.04276048035265314
grid-2964617-m1,1101,0.49,0.44,0.021448169254980005,0.04252407982072247
grid-2964617-m1,1111,0.49,0.44,0.02250649726464305,0.04271942916834842
grid-2964617-m1,1113,0.49,0.44,0.02250649726464305,0.04271942916834842
grid-2964617-m1,1119,0.49,0.44,0.02257428168182541,0.042877993068636294
grid-2964617-m1,1133,0.49,0.44,0.01928414069336573,0.04045083074221371
grid-2964617-m1,1134,0.49,0.44,0.01928414069336573,0.04045083074221371
grid-2964617-m1,1140,0.49,0.44,0.01932519187767045,0.040491881926518425
grid-2964617-m1,1156,0.49,0.44,0.020098564005282822,0.039642707993435465
grid-2964617-m1,1165,0.49,0.44,0.007781866471395535,0.02960170658207826
grid-2964617-m1,1171,0.49,0.44,0.011808763889313848,0.03255173573792487
grid-2964617-m1,1172,0.49,0.44,0.011808763889313848,0.03255173573792487
