match,second,model,fair_live,fair_replay,err
grid-2964617-m2,234,20260904T193238Z,0.7338113777406335,0.7338113777406335,0.0
grid-2964617-m2,245,20260904T193238Z,0.6518335482944433,0.6518335482944433,0.0
grid-2964617-m2,259,20260904T193238Z,0.6515013246999556,0.6515013246999556,0.0
grid-2964617-m2,264,20260904T193238Z,0.6367702476204773,0.6367702476204773,0.0
grid-2964617-m2,266,20260904T193238Z,0.6381046538049289,0.6381046538049289,0.0
grid-2964617-m2,266,20260904T193238Z,0.6381046538049289,0.6381046538049289,0.0
grid-2964617-m2,270,20260904T193238Z,0.6403340934850906,0.6403340934850906,0.0
grid-2964617-m2,297,20260904T193238Z,0.6571785783518722,0.6571785783518722,0.0
grid-2964617-m2,300,20260904T193238Z,0.6593119262782922,0.6593119262782922,0.0
grid-2964617-m2,301,20260904T193238Z,0.6532448546440988,0.6532448546440988,0.0
grid-2964617-m2,304,20260904T193238Z,0.6639364168554222,0.6639364168554222,0.0
grid-2964617-m2,306,20260904T193238Z,0.665342231598153,0.665342231598153,0.0
grid-2964617-m2,308,20260904T193238Z,0.6719780835704151,0.6719780835704151,0.0
grid-2964617-m2,316,20260904T193238Z,0.6760195065039678,0.6760195065039678,0.0
grid-2964617-m2,327,20260904T193238Z,0.6818438014656818,0.6818438014656818,0.0
grid-2964617-m2,332,20260904T193238Z,0.6801361624739022,0.6801361624739022,0.0
grid-2964617-m2,338,20260904T193238Z,0.6911971072626728,0.6911971072626728,0.0
grid-2964617-m2,344,20260904T193238Z,0.6911971072626728,0.6911971072626728,0.0
grid-2964617-m2,351,20260904T193238Z,0.6921106063437777,0.6921106063437777,0.0
grid-2964617-m2,360,20260904T193238Z,0.7066683974379377,0.7066683974379377,0.0
grid-2964617-m2,362,20260904T193238Z,0.7066683974379377,0.7066683974379377,0.0
grid-2964617-m2,363,20260904T193238Z,0.7046315972242682,0.7046315972242682,0.0
grid-2964617-m2,363,20260904T193238Z,0.7079001788502406,0.7079001788502406,0.0
grid-2964617-m2,373,20260904T193238Z,0.7170410335955115,0.7170410335955115,0.0
grid-2964617-m2,378,20260904T193238Z,0.6750885710017465,0.6750885710017465,0.0
grid-2964617-m2,392,20260904T193238Z,0.7260697835520281,0.7260697835520281,0.0
grid-2964617-m2,397,20260904T193238Z,0.721069783552028,0.721069783552028,0.0
grid-2964617-m2,399,20260904T193238Z,0.7179001788502405,0.7179001788502405,0.0
grid-2964617-m2,401,20260904T193238Z,0.7166683974379376,0.7166683974379376,0.0
grid-2964617-m2,403,20260904T193238Z,0.7206074526491671,0.7206074526491671,0.0
grid-2964617-m2,410,20260904T193238Z,0.7229001788502406,0.7229001788502406,0.0
grid-2964617-m2,414,20260904T193238Z,0.7216683974379378,0.7216683974379378,0.0
grid-2964617-m2,416,20260904T193238Z,0.7216683974379378,0.7216683974379378,0.0
grid-2964617-m2,431,20260904T193238Z,0.7188934435165559,0.7188934435165559,0.0
grid-2964617-m2,437,20260904T193238Z,0.6508517768015628,0.6508517768015628,0.0
grid-2964617-m2,437,20260904T193238Z,0.6158517768015629,0.6158517768015629,0.0
grid-2964617-m2,441,20260904T193238Z,0.5756965339620278,0.5756965339620278,0.0
grid-2964617-m2,452,20260904T193238Z,0.6108252752520991,0.6108252752520991,0.0
grid-2964617-m2,455,20260904T193238Z,0.6085055528941845,0.6085055528941845,0.0
grid-2964617-m2,457,20260904T193238Z,0.6158252752520991,0.6158252752520991,0.0
grid-2964617-m2,463,20260904T193238Z,0.6073724279422128,0.6073724279422128,0.0
grid-2964617-m2,467,20260904T193238Z,0.5955311249764796,0.5955311249764796,0.0
grid-2964617-m2,477,20260904T193238Z,0.6054954687272766,0.6054954687272766,0.0
grid-2964617-m2,479,20260904T193238Z,0.6073724279422128,0.6073724279422128,0.0
grid-2964617-m2,483,20260904T193238Z,0.6006560370026235,0.6006560370026235,0.0
grid-2964617-m2,490,20260904T193238Z,0.613381916358235,0.613381916358235,0.0
grid-2964617-m2,505,20260904T193238Z,0.6323724279422128,0.6323724279422128,0.0
grid-2964617-m2,508,20260904T193238Z,0.6335055528941845,0.6335055528941845,0.0
grid-2964617-m2,511,20260904T193238Z,0.6460687017597452,0.6460687017597452,0.0
grid-2964617-m2,511,20260904T193238Z,0.6460687017597452,0.6460687017597452,0.0
grid-2964617-m2,513,20260904T193238Z,0.6460687017597452,0.6460687017597452,0.0
grid-2964617-m2,521,20260904T193238Z,0.6522336063745884,0.6522336063745884,0.0
grid-2964617-m2,523,20260904T193238Z,0.6410687017597452,0.6410687017597452,0.0
grid-2964617-m2,525,20260904T193238Z,0.645997293201466,0.645997293201466,0.0
grid-2964617-m2,532,20260904T193238Z,0.635997293201466,0.635997293201466,0.0
grid-2964617-m2,534,20260904T193238Z,0.635997293201466,0.635997293201466,0.0
grid-2964617-m2,554,20260904T193238Z,0.6280753504321387,0.6280753504321387,0.0
grid-2964617-m2,563,20260904T193238Z,0.626942225480167,0.626942225480167,0.0
grid-2964617-m2,563,20260904T193238Z,0.6273724279422128,0.6273724279422128,0.0
grid-2964617-m2,565,20260904T193238Z,0.616942225480167,0.616942225480167,0.0
grid-2964617-m2,570,20260904T193238Z,0.6073724279422128,0.6073724279422128,0.0
grid-2964617-m2,570,20260904T193238Z,0.6073724279422128,0.6073724279422128,0.0
grid-2964617-m2,578,20260904T193238Z,0.6073724279422128,0.6073724279422128,0.0
grid-2964617-m2,582,20260904T193238Z,0.6158252752520991,0.6158252752520991,0.0
grid-2964617-m2,586,20260904T193238Z,0.620997293201466,0.620997293201466,0.0
grid-2964617-m2,589,20260904T193238Z,0.6260687017597452,0.6260687017597452,0.0
grid-2964617-m2,602,20260904T193238Z,0.6373778481558796,0.6373778481558796,0.0
grid-2964617-m2,614,20260904T193238Z,0.6027795641403101,0.6027795641403101,0.0
grid-2964617-m2,656,20260904T193238Z,0.5805311249764797,0.5805311249764797,0.0
grid-2964617-m2,657,20260904T193238Z,0.5823724279422128,0.5823724279422128,0.0
grid-2964617-m2,664,20260904T193238Z,0.6258252752520991,0.6258252752520991,0.0
grid-2964617-m2,667,20260904T193238Z,0.6310687017597452,0.6310687017597452,0.0
grid-2964617-m2,675,20260904T193238Z,0.630997293201466,0.630997293201466,0.0
grid-2964617-m2,687,20260904T193238Z,0.6694263173802613,0.6694263173802613,0.0
grid-2964617-m2,694,20260904T193238Z,0.6720089026382949,0.6720089026382949,0.0
grid-2964617-m2,695,20260904T193238Z,0.6720089026382949,0.6720089026382949,0.0
grid-2964617-m2,696,20260904T193238Z,0.6770089026382949,0.6770089026382949,0.0
grid-2964617-m2,697,20260904T193238Z,0.664806387346548,0.664806387346548,0.0
