match,map_number,live_prior,ds_prior,d,absd
grid-2972363-m3,3,0.535,0.5800000000000001,-0.04500000000000004,0.04500000000000004
grid-2973272-m1,1,0.375,0.335,0.03999999999999998,0.03999999999999998
grid-2973272-m2,2,0.635,0.675,-0.040000000000000036,0.040000000000000036
grid-2973272-m3,3,0.375,0.33999999999999997,0.03500000000000003,0.03500000000000003
grid-2973272-m4,4,0.435,0.545,-0.11000000000000004,0.11000000000000004
grid-2973273-m2,2,0.665,0.665,0.0,0.0
grid-2973273-m3,3,0.685,0.685,0.0,0.0
grid-2973273-m4,4,0.335,0.335,0.0,0.0
grid-2973274-m1,1,0.315,0.335,-0.020000000000000018,0.020000000000000018
grid-2973274-m2,2,0.375,0.365,0.010000000000000009,0.010000000000000009
grid-2973274-m3,3,0.695,0.695,0.0,0.0
grid-2973274-m4,4,0.69,0.735,-0.04500000000000004,0.04500000000000004
grid-2974335-m1,1,0.35,0.33,0.019999999999999962,0.019999999999999962
grid-2974335-m2,2,0.685,0.67,0.015000000000000013,0.015000000000000013
grid-2974335-m3,3,0.745,0.765,-0.020000000000000018,0.020000000000000018
grid-2974337-m1,1,0.195,0.175,0.020000000000000018,0.020000000000000018
grid-2974337-m2,2,0.85,0.88,-0.030000000000000027,0.030000000000000027
grid-2974337-m3,3,0.805,0.81,-0.0050000000000000044,0.0050000000000000044
grid-2975625-m1,1,0.72,0.76,-0.040000000000000036,0.040000000000000036
grid-2975625-m2,2,0.285,0.28500000000000003,-5.551115123125783e-17,5.551115123125783e-17
grid-2975625-m3,3,0.285,0.28500000000000003,-5.551115123125783e-17,5.551115123125783e-17
grid-2975625-m4,4,0.32,0.30000000000000004,0.019999999999999962,0.019999999999999962
grid-2975625-m5,5,0.2995,0.29950000000000004,-5.551115123125783e-17,5.551115123125783e-17
grid-2975627-m1,1,0.62,0.66,-0.040000000000000036,0.040000000000000036
grid-2975627-m2,2,0.655,0.655,0.0,0.0
grid-2975627-m3,3,0.655,0.625,0.030000000000000027,0.030000000000000027
grid-2975627-m4,4,0.565,0.575,-0.010000000000000009,0.010000000000000009
grid-2975628-m1,1,0.435,0.405,0.02999999999999997,0.02999999999999997
grid-2975628-m2,2,0.375,0.375,0.0,0.0
grid-2975628-m3,3,0.385,0.39,-0.0050000000000000044,0.0050000000000000044
grid-2975628-m4,4,0.455,0.425,0.030000000000000027,0.030000000000000027
grid-2975629-m1,1,0.64,0.63,0.010000000000000009,0.010000000000000009
grid-2975629-m2,2,0.635,0.635,0.0,0.0
grid-2975629-m3,3,0.655,0.685,-0.030000000000000027,0.030000000000000027
grid-2976630-m2,2,0.66,0.685,-0.025000000000000022,0.025000000000000022
grid-2976630-m3,3,0.665,0.66,0.0050000000000000044,0.0050000000000000044
grid-2976631-m1,1,0.78,0.83,-0.04999999999999993,0.04999999999999993
grid-2976631-m2,2,0.715,0.71,0.0050000000000000044,0.0050000000000000044
grid-2976631-m3,3,0.235,0.245,-0.010000000000000009,0.010000000000000009
grid-2976631-m4,4,0.825,0.49,0.33499999999999996,0.33499999999999996
grid-2976631-m5,5,0.3025,0.28500000000000003,0.01749999999999996,0.01749999999999996
grid-2977835-m3,3,0.775,0.775,0.0,0.0
grid-2978288-m1,1,0.41,0.45999999999999996,-0.04999999999999999,0.04999999999999999
grid-2978288-m2,2,0.435,0.435,0.0,0.0
grid-2978288-m3,3,0.58,0.635,-0.05500000000000005,0.05500000000000005
grid-2980509-m1,1,0.255,0.215,0.04000000000000001,0.04000000000000001
grid-2980509-m2,2,0.745,0.735,0.010000000000000009,0.010000000000000009
grid-2980509-m3,3,0.705,0.725,-0.020000000000000018,0.020000000000000018
grid-2984640-m1,1,0.45,0.435,0.015000000000000013,0.015000000000000013
grid-2984640-m2,2,0.485,0.47,0.015000000000000013,0.015000000000000013
grid-2984640-m3,3,0.5226130653266332,0.52,0.0026130653266331905,0.0026130653266331905
grid-2984645-m2,2,0.62,0.62,0.0,0.0
grid-2984646-m1,1,0.705,0.69,0.015000000000000013,0.015000000000000013
grid-2984646-m2,2,0.525,0.605,-0.07999999999999996,0.07999999999999996
grid-2987004-m1,1,0.425,0.415,0.010000000000000009,0.010000000000000009
grid-2987004-m2,2,0.475,0.495,-0.020000000000000018,0.020000000000000018
grid-2987004-m3,3,0.465,0.435,0.030000000000000027,0.030000000000000027
grid-2987004-m4,4,0.475,0.46499999999999997,0.010000000000000009,0.010000000000000009
grid-2987005-m1,1,0.555,0.575,-0.019999999999999907,0.019999999999999907
grid-2987005-m2,2,0.455,0.46499999999999997,-0.009999999999999953,0.009999999999999953
grid-2987005-m3,3,0.565,0.585,-0.020000000000000018,0.020000000000000018
grid-2987005-m4,4,0.465,0.455,0.010000000000000009,0.010000000000000009
grid-2987006-m1,1,0.585,0.555,0.029999999999999916,0.029999999999999916
grid-2987006-m2,2,0.455,0.485,-0.02999999999999997,0.02999999999999997
grid-2987006-m3,3,0.485,0.505,-0.020000000000000018,0.020000000000000018
grid-2987006-m4,4,0.575,0.575,0.0,0.0
grid-2987017-m1,1,0.725,0.725,0.0,0.0
grid-2987017-m2,2,0.695,0.745,-0.050000000000000044,0.050000000000000044
grid-2987017-m3,3,0.698019801980198,0.745,-0.04698019801980202,0.04698019801980202
grid-2987018-m1,1,0.405,0.365,0.040000000000000036,0.040000000000000036
grid-2987018-m2,2,0.385,0.415,-0.02999999999999997,0.02999999999999997
grid-2987018-m4,4,0.435,0.445,-0.010000000000000009,0.010000000000000009
grid-2987018-m5,5,0.445,0.455,-0.010000000000000009,0.010000000000000009
grid-2987019-m1,1,0.355,0.315,0.03999999999999998,0.03999999999999998
grid-2987019-m2,2,0.385,0.395,-0.010000000000000009,0.010000000000000009
grid-2987019-m3,3,0.595,0.575,0.020000000000000018,0.020000000000000018
grid-2987019-m4,4,0.385,0.435,-0.04999999999999999,0.04999999999999999
grid-2987019-m5,5,0.635,0.575,0.06000000000000005,0.06000000000000005
grid-2987020-m1,1,0.425,0.445,-0.020000000000000018,0.020000000000000018
grid-2987020-m2,2,0.545,0.5700000000000001,-0.025000000000000022,0.025000000000000022
grid-2987020-m3,3,0.485,0.46499999999999997,0.020000000000000018,0.020000000000000018
grid-2987020-m4,4,0.515,0.515,0.0,0.0
grid-2987021-m1,1,0.475,0.475,0.0,0.0
grid-2987021-m2,2,0.565,0.595,-0.030000000000000027,0.030000000000000027
grid-2987021-m3,3,0.445,0.455,-0.010000000000000009,0.010000000000000009
grid-2987021-m4,4,0.565,0.575,-0.010000000000000009,0.010000000000000009
grid-2991209-m2,2,0.755,0.755,0.0,0.0
grid-2991210-m2,2,0.44,0.44000000000000006,-5.551115123125783e-17,5.551115123125783e-17
grid-2991210-m3,3,0.405,0.46499999999999997,-0.05999999999999994,0.05999999999999994
grid-2991212-m1,1,0.38,0.375,0.0050000000000000044,0.0050000000000000044
grid-2991213-m1,1,0.965,0.96,0.0050000000000000044,0.0050000000000000044
grid-2991214-m1,1,0.255,0.245,0.010000000000000009,0.010000000000000009
grid-2991216-m3,3,0.87,0.87,0.0,0.0
grid-2991218-m2,2,0.475,0.475,0.0,0.0
grid-2994622-m1,1,0.22,0.22,0.0,0.0
grid-2996948-m1,1,0.545,0.575,-0.029999999999999916,0.029999999999999916
grid-2996948-m2,2,0.56,0.505,0.05500000000000005,0.05500000000000005
grid-2996948-m3,3,0.605,0.59,0.015000000000000013,0.015000000000000013
grid-2996948-m4,4,0.465,0.425,0.040000000000000036,0.040000000000000036
grid-2996948-m5,5,0.555,0.54,0.015000000000000013,0.015000000000000013
grid-2996949-m1,1,0.245,0.225,0.01999999999999999,0.01999999999999999
grid-2996949-m2,2,0.735,0.77,-0.03500000000000003,0.03500000000000003
grid-2996949-m4,4,0.33,0.345,-0.014999999999999958,0.014999999999999958
grid-2998724-m3,3,0.36,0.385,-0.025000000000000022,0.025000000000000022
grid-2999024-m1,1,0.2,0.27,-0.07,0.07
grid-2999024-m2,2,0.175,0.245,-0.07,0.07
grid-2999024-m5,5,0.845,0.855,-0.010000000000000009,0.010000000000000009
grid-3000371-m1,1,0.525,0.565,-0.039999999999999925,0.039999999999999925
grid-3000371-m2,2,0.485,0.415,0.07,0.07
grid-3000371-m3,3,0.535,0.56,-0.025000000000000022,0.025000000000000022
grid-3000372-m2,2,0.335,0.335,0.0,0.0
grid-3000372-m3,3,0.635,0.645,-0.010000000000000009,0.010000000000000009
grid-3000372-m4,4,0.385,0.335,0.04999999999999999,0.04999999999999999
grid-3000375-m1,1,0.375,0.365,0.010000000000000009,0.010000000000000009
grid-3000375-m2,2,0.665,0.635,0.030000000000000027,0.030000000000000027
grid-3000375-m3,3,0.665,0.685,-0.020000000000000018,0.020000000000000018
grid-3000375-m4,4,0.345,0.37,-0.025000000000000022,0.025000000000000022
grid-3000375-m5,5,0.37387387387387394,0.362,0.011873873873873952,0.011873873873873952
grid-3002597-m1,1,0.695,0.685,0.009999999999999898,0.009999999999999898
grid-3002597-m2,2,0.695,0.755,-0.06000000000000005,0.06000000000000005
grid-3002597-m3,3,0.665,0.705,-0.039999999999999925,0.039999999999999925
grid-3002598-m1,1,0.785,0.795,-0.010000000000000009,0.010000000000000009
grid-3002598-m2,2,0.775,0.785,-0.010000000000000009,0.010000000000000009
grid-3002598-m3,3,0.245,0.225,0.01999999999999999,0.01999999999999999
grid-3002598-m4,4,0.775,0.765,0.010000000000000009,0.010000000000000009
grid-3002599-m1,1,0.555,0.555,0.0,0.0
grid-3002599-m2,2,0.505,0.525,-0.020000000000000018,0.020000000000000018
grid-3002599-m3,3,0.495,0.575,-0.07999999999999996,0.07999999999999996
grid-3002599-m4,4,0.555,0.585,-0.029999999999999916,0.029999999999999916
grid-3002600-m1,1,0.485,0.485,0.0,0.0
grid-3002600-m3,3,0.575,0.545,0.029999999999999916,0.029999999999999916
grid-3002600-m4,4,0.475,0.485,-0.010000000000000009,0.010000000000000009
grid-3002600-m5,5,0.565,0.605,-0.040000000000000036,0.040000000000000036
grid-3002601-m2,2,0.565,0.545,0.019999999999999907,0.019999999999999907
grid-3002601-m3,3,0.505,0.485,0.020000000000000018,0.020000000000000018
grid-3002601-m4,4,0.465,0.475,-0.009999999999999953,0.009999999999999953
grid-3002601-m5,5,0.615,0.655,-0.040000000000000036,0.040000000000000036
grid-3002602-m1,1,0.595,0.635,-0.040000000000000036,0.040000000000000036
grid-3002602-m2,2,0.625,0.555,0.06999999999999995,0.06999999999999995
grid-3002602-m3,3,0.625,0.595,0.030000000000000027,0.030000000000000027
grid-3002602-m4,4,0.625,0.635,-0.010000000000000009,0.010000000000000009
grid-3002603-m1,1,0.625,0.675,-0.050000000000000044,0.050000000000000044
grid-3002603-m2,2,0.355,0.355,0.0,0.0
grid-3004386-m2,2,0.445,0.445,0.0,0.0
grid-3004386-m4,4,0.765,0.79,-0.025000000000000022,0.025000000000000022
grid-3004388-m3,3,0.615,0.615,0.0,0.0
grid-3004388-m5,5,0.4,0.625,-0.22499999999999998,0.22499999999999998
grid-3005559-m1,1,0.045,0.04,0.0049999999999999975,0.0049999999999999975
grid-3005560-m1,1,0.585,0.595,-0.010000000000000009,0.010000000000000009
grid-3005560-m3,3,0.86,0.87,-0.010000000000000009,0.010000000000000009
grid-3005562-m1,1,0.575,0.5,0.07499999999999996,0.07499999999999996
grid-3005562-m3,3,0.425,0.155,0.27,0.27
grid-3005563-m1,1,0.37,0.335,0.034999999999999976,0.034999999999999976
grid-3005563-m2,2,0.66,0.56,0.09999999999999998,0.09999999999999998
grid-3005563-m4,4,0.695,0.65,0.04499999999999993,0.04499999999999993
grid-3005569-m1,1,0.235,0.22,0.014999999999999986,0.014999999999999986
grid-3005569-m2,2,0.2235,0.23049999999999998,-0.0069999999999999785,0.0069999999999999785
grid-3005569-m3,3,0.195,0.195,0.0,0.0
grid-3005570-m1,1,0.435,0.45499999999999996,-0.019999999999999962,0.019999999999999962
grid-3005570-m2,2,0.575,0.585,-0.010000000000000009,0.010000000000000009
grid-3005570-m3,3,0.615,0.615,0.0,0.0
grid-3005570-m4,4,0.555,0.54,0.015000000000000013,0.015000000000000013
