match,death_offset,death_n,death_spread,gold_offset,gold_cost,gold_n,horn_minus_spawn_wall,chosen_offset,n_grid,n_ls,pause_seconds
grid-2968612-m3,2.0,17,3.0,1.0,74.0,506,-0.6500000953674316,2.0,330,901,77.28799986839294
grid-2968612-m4,3.0,14,2.0,1.0,125.0,501,-0.8840000629425049,3.0,354,901,71.97399997711182
grid-2968613-m1,2.0,8,1.0,12.0,109.0,523,-0.4330000877380371,2.0,353,901,27.819000005722046
grid-2968613-m2,2.0,14,2.0,1.0,211.5,518,-0.9409999847412109,2.0,347,901,0.0
grid-2968613-m3,2.0,29,7.0,1.0,129.0,533,-0.22799992561340332,2.0,370,901,22.07200002670288
grid-2968614-m1,3.0,9,2.0,2.0,50.0,485,-1.062999963760376,3.0,441,901,827.8890001773834
grid-2968614-m2,3.0,11,1.0,2.0,120.0,538,-0.9809999465942383,3.0,625,901,0.0
grid-2968614-m3,2.5,6,5.0,2.0,60.5,414,-0.25500011444091797,2.5,356,901,0.0
grid-2971821-m1,,0,,,,0,-0.5169999599456787,,2,901,544.2779998779297
grid-2971822-m2,3.0,5,2.0,4.0,110.0,567,-1.0699999332427979,3.0,520,901,0.0
grid-2971823-m1,2.0,16,34.0,1.0,80.0,495,-0.6189999580383301,2.0,453,901,39.63699984550476
grid-2971823-m2,2.0,10,1.0,2.0,75.0,635,-0.40799999237060547,2.0,444,901,40.70299983024597
grid-2971824-m1,4.0,13,3.0,3.0,56.0,479,-0.9289999008178711,4.0,321,901,0.0
grid-2971824-m2,3.0,12,2.0,4.0,66.0,524,-1.0789999961853027,3.0,522,901,0.0
grid-2971825-m1,1.0,7,3.0,1.0,49.0,477,-0.2609999179840088,1.0,350,901,45.61400008201599
grid-2971825-m2,2.0,11,2.0,3.0,108.0,491,-0.44700002670288086,2.0,453,901,0.0
grid-2971825-m3,1.0,8,1.0,1.0,65.0,442,-0.5150001049041748,1.0,296,901,61.90700006484985
grid-2972362-m2,2.0,16,2.0,3.0,53.0,510,-0.7569999694824219,2.0,364,901,0.0
grid-2972362-m3,3.0,11,3.0,4.0,73.5,658,-0.9460000991821289,3.0,540,901,0.0
grid-2972363-m1,2.0,5,3.0,1.0,83.0,470,-0.2709999084472656,2.0,358,901,492.4190003871918
grid-2972363-m2,2.0,4,1.0,4.0,81.0,382,-0.624000072479248,2.0,337,901,0.0
grid-2972363-m3,3.0,13,5.0,3.0,79.0,497,-0.8239998817443848,3.0,435,901,93.09899997711182
grid-2973272-m1,3.0,5,1.0,3.0,55.5,588,-1.0769999027252197,3.0,454,901,32.437000036239624
grid-2973272-m2,2.0,12,2.0,0.0,105.0,537,-0.20399999618530273,2.0,379,901,35.67700004577637
grid-2973272-m3,3.0,6,2.0,11.0,122.5,474,-0.4049999713897705,3.0,404,901,34.50399994850159
grid-2973272-m4,2.0,10,2.0,3.0,77.0,482,-0.18000006675720215,2.0,361,901,36.17700004577637
grid-2973273-m1,3.0,6,2.0,3.0,59.0,527,29.329999923706055,3.0,537,901,30.331000089645386
grid-2973273-m2,3.0,6,2.0,3.0,100.0,645,-0.6310000419616699,3.0,426,901,34.103999853134155
grid-2973273-m3,3.0,5,2.0,3.0,45.0,436,-0.7929999828338623,3.0,364,901,26.286999940872192
grid-2973273-m4,,2,,1.0,115.0,451,-0.125,1.0,341,901,23.349000215530396
grid-2973274-m1,3.0,6,2.0,3.0,80.0,473,-0.8229999542236328,3.0,315,901,97.3420000076294
grid-2973274-m2,3.0,9,2.0,2.0,75.0,509,-1.0390000343322754,3.0,411,901,32.6010000705719
grid-2973274-m3,4.0,7,1.0,3.0,86.0,463,-0.7960000038146973,4.0,419,901,32.86699986457825
grid-2973274-m4,2.0,14,2.0,2.0,81.0,613,-0.6459999084472656,2.0,568,901,23.587000131607056
grid-2974335-m1,3.0,7,2.0,2.0,100.0,500,-1.0969998836517334,3.0,341,901,140.05799984931946
grid-2974335-m2,2.0,14,2.0,3.0,70.0,468,-0.39499998092651367,2.0,342,901,190.79199981689453
grid-2974335-m3,,1,,4.0,69.0,443,-0.6110000610351562,4.0,381,901,0.0
grid-2974337-m1,4.0,3,1.0,5.0,75.0,429,-1.058000087738037,4.0,382,901,0.0
grid-2974337-m2,3.0,14,33.0,3.0,57.0,501,-0.6129999160766602,3.0,469,901,0.0
grid-2974337-m3,3.0,12,1.0,4.0,56.0,597,-0.806999921798706,3.0,445,901,0.0
grid-2975625-m1,3.0,13,2.0,2.0,81.0,475,-1.0299999713897705,3.0,329,901,220.27199983596802
grid-2975625-m2,2.0,12,2.0,3.0,81.0,582,-0.556999921798706,2.0,583,901,0.0
grid-2975625-m3,2.0,17,1.0,3.0,148.0,565,-0.2369999885559082,2.0,439,901,0.0
grid-2975625-m4,2.0,11,1.0,1.0,58.0,695,-0.2049999237060547,2.0,531,901,0.0
grid-2975625-m5,-3.0,11,6.0,-3.0,50.0,561,-0.806999921798706,-3.0,494,898,443.06600046157837
grid-2975627-m1,3.0,5,2.0,2.0,119.0,572,-0.8499999046325684,3.0,576,901,59.793999910354614
grid-2975627-m2,2.5,4,2.0,3.0,84.0,489,-0.7960000038146973,2.5,386,901,0.0
grid-2975627-m3,2.0,5,1.0,1.0,84.0,479,-0.34800004959106445,2.0,425,901,60.115999937057495
grid-2975627-m4,3.0,9,27.0,3.0,65.0,494,-0.746999979019165,3.0,477,901,0.0
grid-2975628-m1,3.0,10,1.0,3.0,79.0,507,-0.7590000629425049,3.0,487,901,0.0
grid-2975628-m2,2.0,8,0.0,2.0,115.0,525,-0.437999963760376,2.0,359,901,0.0
grid-2975628-m3,2.0,11,2.0,2.0,63.5,512,-0.40000009536743164,2.0,408,901,0.0
grid-2975628-m4,3.0,8,2.0,3.0,60.0,621,-0.7960000038146973,3.0,650,901,0.0
grid-2975628-m5,2.0,7,2.0,1.0,90.5,462,-0.5829999446868896,2.0,475,901,0.0
grid-2975629-m1,2.0,18,2.0,2.0,85.0,473,-0.4549999237060547,2.0,474,901,0.0
grid-2975629-m2,3.0,10,2.0,3.0,117.0,530,-1.1110000610351562,3.0,576,901,29.22000002861023
grid-2975629-m3,2.0,8,1.0,2.0,47.0,472,-0.23799991607666016,2.0,434,901,0.0
grid-2976630-m1,3.0,17,2.0,3.0,92.5,606,-0.6979999542236328,3.0,446,901,515.1969997882843
grid-2976630-m2,2.0,11,2.0,3.0,102.0,495,-0.6619999408721924,2.0,382,901,0.0
grid-2976630-m3,3.0,16,1.0,3.0,75.0,509,-0.8029999732971191,3.0,368,901,0.0
grid-2976631-m1,2.0,12,2.0,3.0,53.0,511,-0.11299991607666016,2.0,364,901,0.0
grid-2976631-m2,2.0,7,3.0,2.0,86.0,567,-0.21499991416931152,2.0,651,901,0.0
grid-2976631-m3,2.0,13,1.0,2.0,50.0,491,-0.6730000972747803,2.0,394,901,0.0
grid-2976631-m4,3.0,4,1.0,4.0,56.0,779,-1.0950000286102295,3.0,874,901,0.0
grid-2976631-m5,2.0,4,1.0,2.0,140.0,456,-0.3840000629425049,2.0,296,901,51.58099985122681
grid-2977835-m1,2.0,12,1.0,0.0,145.0,505,-0.9100000858306885,2.0,443,901,149.90799975395203
grid-2977835-m2,2.0,6,1.0,3.0,55.0,435,-0.15599989891052246,2.0,314,901,0.0
grid-2977835-m3,4.0,8,1.0,2.0,105.0,584,-0.7369999885559082,4.0,464,901,0.0
grid-2977837-m1,3.0,6,3.0,3.0,104.0,473,-1.0859999656677246,3.0,362,901,44.24600005149841
grid-2977837-m2,2.0,13,5.0,2.0,49.0,672,-0.32200002670288086,2.0,457,901,112.65900015830994
grid-2977837-m3,2.0,15,2.0,2.0,115.0,559,-0.48000001907348633,2.0,638,901,0.0
grid-2978288-m1,2.0,5,2.0,36.0,221.0,497,-0.18499994277954102,2.0,464,901,35.46499991416931
grid-2978288-m2,3.0,10,1.0,3.0,115.0,489,-0.9700000286102295,3.0,394,901,0.0
grid-2978288-m3,3.0,14,2.0,5.0,89.0,531,-0.5789999961853027,3.0,359,901,0.0
grid-2980509-m1,2.0,6,1.0,2.0,73.0,480,-1.0139999389648438,2.0,406,901,0.0
grid-2980509-m2,2.0,3,0.0,1.0,60.0,485,-0.16499996185302734,2.0,331,901,0.0
grid-2980509-m3,1.0,10,2.0,2.0,65.0,625,-0.1119999885559082,1.0,659,901,0.0
grid-2984640-m1,2.0,12,2.0,2.0,69.0,522,-0.15899991989135742,2.0,299,901,78.70900011062622
grid-2984640-m2,3.0,10,3.0,2.0,60.0,510,-0.2780001163482666,3.0,355,901,196.80599999427795
grid-2984640-m3,3.0,5,1.0,4.0,75.0,461,-0.8519999980926514,3.0,392,901,470.24900007247925
grid-2984645-m1,3.0,7,2.0,3.0,65.0,547,-0.8159999847412109,3.0,520,901,77.36999988555908
grid-2984645-m2,4.0,15,2.0,4.0,150.0,532,-1.0910000801086426,4.0,382,901,127.63599991798401
grid-2984646-m1,3.0,11,3.0,3.0,110.0,616,-1.062000036239624,3.0,471,901,98.61199998855591
grid-2984646-m2,3.0,10,29.0,3.0,83.0,495,-0.4330000877380371,3.0,351,901,69.19099998474121
grid-2987004-m1,2.0,5,1.0,3.0,50.0,468,-0.5739998817443848,2.0,410,901,0.0
grid-2987004-m2,2.0,11,2.0,3.0,60.0,679,-0.16899991035461426,2.0,597,901,0.0
grid-2987004-m3,2.0,9,1.0,3.0,64.0,490,-0.37599992752075195,2.0,499,901,87.88199996948242
grid-2987004-m4,3.0,6,1.0,2.0,60.0,496,-0.12400007247924805,3.0,397,901,0.0
grid-2987005-m1,2.0,6,1.0,2.0,95.0,630,-0.6089999675750732,2.0,796,901,0.0
grid-2987005-m2,2.0,3,0.0,3.0,63.0,502,-0.3540000915527344,2.0,367,901,0.0
grid-2987005-m3,3.0,11,3.0,4.0,105.0,465,-0.937000036239624,3.0,409,901,0.0
grid-2987005-m4,3.0,5,1.0,3.0,55.0,470,-0.7639999389648438,3.0,338,901,0.0
grid-2987006-m1,3.0,6,1.0,4.0,35.0,468,-0.9059998989105225,3.0,391,901,0.0
grid-2987006-m2,2.0,9,1.0,2.0,130.0,577,-0.5929999351501465,2.0,485,901,0.0
grid-2987006-m3,3.0,7,1.0,2.0,60.0,454,-0.5350000858306885,3.0,328,901,0.0
grid-2987006-m4,2.0,5,2.0,4.0,70.0,502,-0.2850000858306885,2.0,431,901,0.0
grid-2987017-m1,4.0,7,1.0,5.0,71.0,447,-0.7269999980926514,4.0,395,901,141.7099997997284
grid-2987017-m2,,2,,3.0,29.0,557,-0.49900007247924805,3.0,488,901,0.0
grid-2987017-m3,,2,,1.0,108.0,462,-0.6480000019073486,1.0,330,901,0.0
grid-2987018-m1,2.0,12,1.0,3.0,62.5,596,-0.3880000114440918,2.0,511,901,0.0
grid-2987018-m2,3.0,7,3.0,3.0,84.0,595,-1.0429999828338623,3.0,312,901,0.0
grid-2987018-m4,3.0,16,2.0,5.0,107.0,523,-1.0230000019073486,3.0,334,901,0.0
grid-2987018-m5,3.0,13,40.0,4.0,64.0,444,-0.9140000343322754,3.0,337,901,0.0
grid-2987019-m1,3.0,7,1.0,3.0,77.5,524,-0.33100008964538574,3.0,563,901,0.0
grid-2987019-m2,3.0,3,305.0,3.0,185.0,277,-0.30299997329711914,3.0,430,901,0.0
grid-2987019-m3,2.0,7,1.0,2.0,91.0,513,-0.13499999046325684,2.0,455,901,0.0
grid-2987019-m4,2.0,10,33.0,3.0,75.0,466,-0.10199999809265137,2.0,254,901,0.0
grid-2987019-m5,3.0,6,1.0,3.0,45.0,454,-0.8269999027252197,3.0,264,901,0.0
grid-2987020-m1,2.0,5,1.0,2.0,42.0,529,-0.4179999828338623,2.0,393,901,0.0
grid-2987020-m2,2.0,3,1.0,2.0,80.0,449,-0.994999885559082,2.0,407,901,0.0
grid-2987020-m3,3.0,10,2.0,3.0,54.0,483,-0.6970000267028809,3.0,320,901,0.0
grid-2987020-m4,2.0,7,3.0,4.0,65.0,502,-0.21799993515014648,2.0,404,901,0.0
grid-2987021-m1,3.0,6,2.0,2.0,56.0,672,-1.000999927520752,3.0,708,901,0.0
grid-2987021-m2,3.0,9,2.0,4.0,64.0,493,-0.6519999504089355,3.0,553,901,0.0
grid-2987021-m3,2.0,3,1.0,0.0,87.0,456,-0.6809999942779541,2.0,395,901,0.0
grid-2987021-m4,2.5,14,1.0,2.0,123.5,500,-0.7260000705718994,2.5,326,901,0.0
grid-2991209-m2,3.0,21,2.0,3.0,67.0,572,-0.940000057220459,3.0,379,901,0.0
grid-2991210-m1,3.0,13,2.0,3.0,118.0,523,-0.8550000190734863,3.0,459,901,36.4520001411438
grid-2991210-m2,2.0,9,4.0,3.0,62.0,657,-0.3510000705718994,2.0,471,901,138.85400009155273
grid-2991210-m3,3.0,16,2.0,3.0,67.0,523,-0.4119999408721924,3.0,344,901,0.0
grid-2991212-m1,2.0,13,2.0,3.0,95.0,463,-0.4309999942779541,2.0,453,901,0.0
grid-2991212-m2,2.0,18,2.0,2.0,95.0,537,-0.19099998474121094,2.0,349,901,0.0
grid-2991212-m3,3.0,20,27.0,2.0,67.0,498,-0.6010000705718994,3.0,340,901,0.0
grid-2991213-m1,3.0,18,10.0,3.0,56.0,517,-0.9649999141693115,3.0,317,901,0.0
grid-2991213-m2,2.0,21,2.0,2.0,76.0,571,-0.8440001010894775,2.0,253,901,0.0
grid-2991214-m1,3.0,11,3.0,3.0,50.0,646,-0.871999979019165,3.0,795,901,53.97500014305115
grid-2991214-m2,2.0,15,3.0,3.0,79.5,502,-0.625,2.0,324,901,0.0
grid-2991214-m3,4.0,9,2.0,2.0,102.5,514,-0.8940000534057617,4.0,373,901,99.7940001487732
grid-2991216-m1,2.5,8,1.0,3.0,95.0,507,-0.24399995803833008,2.5,568,901,0.0
grid-2991216-m2,,2,,3.0,76.0,447,-0.7349998950958252,3.0,370,901,45.325000047683716
grid-2991216-m3,3.0,14,5.0,3.0,75.0,516,-0.4869999885559082,3.0,427,901,56.569000005722046
grid-2991217-m1,2.0,11,2.0,3.0,110.0,551,-0.6659998893737793,2.0,315,901,73.16700005531311
grid-2991217-m2,2.5,8,1.0,3.0,55.0,494,-0.315000057220459,2.5,340,901,52.628000020980835
grid-2991218-m1,3.0,17,20.0,3.0,85.5,488,-0.6800000667572021,3.0,496,901,0.0
grid-2991218-m2,2.5,12,3.0,3.0,65.0,478,-0.45600008964538574,2.5,425,901,75.04299998283386
grid-2994622-m1,3.0,8,1.0,4.0,93.0,466,128.14599990844727,3.0,391,901,129.05399990081787
grid-2994622-m2,2.0,5,2.0,3.0,112.0,513,79.84599995613098,2.0,430,901,147.10500025749207
grid-2996948-m1,2.0,3,3.0,3.0,43.0,451,-0.9519999027252197,2.0,427,901,247.16400003433228
grid-2996948-m2,2.0,6,1.0,2.0,51.0,601,-0.3299999237060547,2.0,529,901,0.0
grid-2996948-m3,3.0,9,2.0,5.0,106.0,491,-0.8959999084472656,3.0,371,901,0.0
grid-2996948-m4,2.0,10,1.0,2.0,85.0,519,-0.5759999752044678,2.0,365,901,0.0
grid-2996948-m5,3.0,4,1.0,3.0,70.0,438,-0.26799988746643066,3.0,384,901,0.0
grid-2996949-m1,2.0,17,17.0,2.0,60.0,514,-0.31800007820129395,2.0,395,899,171.00300002098083
grid-2996949-m2,2.0,13,3.0,2.0,49.0,541,-0.26600003242492676,2.0,593,901,0.0
grid-2996949-m4,-6.0,10,3.0,-6.0,77.5,568,-0.21000003814697266,-6.0,463,897,727.7470002174377
grid-2998724-m3,3.0,11,2.0,4.0,70.0,636,-0.6150000095367432,3.0,510,901,129.3109998703003
grid-2998724-m4,3.0,5,2.0,2.0,50.0,534,-0.6960000991821289,3.0,457,901,92.68499994277954
grid-2999024-m1,3.0,15,3.0,3.0,72.5,532,-0.7170000076293945,3.0,352,901,0.0
grid-2999024-m2,2.0,24,2.0,2.0,95.0,720,-0.3919999599456787,2.0,528,901,0.0
grid-2999024-m4,2.0,15,3.0,1.0,97.0,530,-0.2990000247955322,2.0,326,901,0.0
grid-2999024-m5,3.0,9,1.0,2.0,102.0,467,-0.6070001125335693,3.0,327,901,0.0
grid-3000371-m1,3.0,8,1.0,3.0,82.0,491,-0.8949999809265137,3.0,365,901,118.2960000038147
grid-3000371-m2,3.5,4,2.0,3.0,69.0,604,-0.6410000324249268,3.5,549,901,0.0
grid-3000371-m3,2.0,5,0.0,3.0,65.0,455,-0.33899998664855957,2.0,388,901,0.0
grid-3000372-m1,,0,,2.0,65.0,474,-0.503000020980835,2.0,443,901,0.0
grid-3000372-m2,2.0,9,6.0,1.0,70.0,449,-0.13700008392333984,2.0,488,901,0.0
grid-3000372-m3,,0,,3.0,65.0,591,-0.17799997329711914,3.0,553,901,0.0
grid-3000372-m4,2.0,3,1.0,2.0,80.0,413,-0.22600007057189941,2.0,315,901,0.0
grid-3000375-m1,2.5,4,2.0,3.0,64.5,476,-0.49699997901916504,2.5,301,901,0.0
grid-3000375-m2,,1,,-2.0,100.0,439,-0.6679999828338623,-2.0,362,901,0.0
grid-3000375-m3,2.0,7,2.0,3.0,93.5,514,-0.4809999465942383,2.0,433,901,0.0
grid-3000375-m4,2.0,9,2.0,1.0,99.5,762,-0.6019999980926514,2.0,743,901,67.52300000190735
grid-3000375-m5,,1,,4.0,94.0,456,-0.6029999256134033,4.0,339,901,0.0
grid-3002597-m1,3.0,5,1.0,3.0,56.0,494,-0.5209999084472656,3.0,524,901,0.0
grid-3002597-m2,2.0,11,3.0,2.0,124.5,486,-0.27699995040893555,2.0,287,901,0.0
grid-3002597-m3,2.0,14,2.0,2.0,49.0,539,-0.3540000915527344,2.0,369,901,0.0
grid-3002598-m1,2.0,7,2.0,3.0,70.0,673,-0.5469999313354492,2.0,672,901,329.53200006484985
grid-3002598-m2,2.0,8,2.0,3.0,50.0,488,-0.37400007247924805,2.0,438,901,101.8289999961853
grid-3002598-m3,3.0,3,2.0,-1.0,89.0,456,-0.619999885559082,3.0,302,901,0.0
grid-3002598-m4,2.0,14,1.0,2.0,122.0,509,-0.4479999542236328,2.0,310,901,0.0
grid-3002599-m1,3.0,8,2.0,4.0,50.0,671,-0.8269999027252197,3.0,652,901,0.0
grid-3002599-m2,2.0,9,1.0,3.0,60.0,446,-0.9670000076293945,2.0,386,901,0.0
grid-3002599-m3,,2,,0.0,90.5,454,-0.8389999866485596,0.0,294,901,0.0
grid-3002599-m4,2.5,6,1.0,3.0,50.0,474,-0.42100000381469727,2.5,295,901,0.0
grid-3002600-m1,3.0,7,1.0,3.0,93.0,554,-0.6800000667572021,3.0,474,901,0.0
grid-3002600-m2,2.5,4,2.0,2.0,64.0,457,-0.22600007057189941,2.5,407,901,0.0
grid-3002600-m3,2.0,11,1.0,2.0,73.0,509,-0.10299992561340332,2.0,461,901,93.96099996566772
grid-3002600-m4,3.0,7,2.0,4.0,54.5,494,-0.7929999828338623,3.0,480,901,0.0
grid-3002600-m5,3.0,5,2.0,3.0,41.0,497,-0.4179999828338623,3.0,428,901,0.0
grid-3002601-m2,,2,,-2.0,115.0,487,-0.621999979019165,-2.0,403,901,239.70099997520447
grid-3002601-m3,2.0,16,2.0,3.0,40.0,618,-0.4230000972747803,2.0,559,901,0.0
grid-3002601-m4,2.0,5,2.0,1.0,62.0,455,-0.6770000457763672,2.0,352,901,0.0
grid-3002601-m5,2.0,10,2.0,2.0,60.0,557,-0.2090001106262207,2.0,558,901,0.0
grid-3002602-m1,,2,,3.0,56.0,450,-0.21799993515014648,3.0,420,901,0.0
grid-3002602-m2,2.0,11,2.0,3.0,52.0,651,-0.21000003814697266,2.0,481,901,0.0
grid-3002602-m3,2.0,8,1.0,3.0,49.0,541,-0.5969998836517334,2.0,478,901,0.0
grid-3002602-m4,2.5,6,2.0,3.0,68.5,554,-0.8599998950958252,2.5,527,901,0.0
grid-3002603-m1,2.0,6,1.0,1.0,82.0,583,-0.35500001907348633,2.0,669,901,61.20300006866455
grid-3002603-m2,,2,,3.0,72.0,519,-0.5959999561309814,3.0,466,901,0.0
grid-3002603-m3,2.5,6,1.0,3.0,130.0,548,-0.5980000495910645,2.5,329,901,0.0
grid-3004386-m1,2.0,12,2.0,3.0,44.0,476,-0.7360000610351562,2.0,321,901,155.13000011444092
grid-3004386-m2,2.0,4,1.0,-1.0,85.0,427,-0.15000009536743164,2.0,437,901,0.0
grid-3004386-m3,3.0,12,3.0,3.0,66.0,489,-0.4869999885559082,3.0,324,901,46.65300011634827
grid-3004386-m4,3.0,18,2.0,2.0,98.0,501,-1.0169999599456787,3.0,334,901,0.0
grid-3004388-m1,1.0,8,1.0,2.0,65.0,453,-0.437999963760376,1.0,400,901,243.96599984169006
grid-3004388-m2,3.0,11,2.0,2.0,75.0,503,-0.4939999580383301,3.0,382,901,0.0
grid-3004388-m3,2.5,8,2.0,3.0,61.0,497,-0.12899994850158691,2.5,389,901,36.43299984931946
grid-3004388-m4,-2.0,13,19.0,-1.0,90.0,485,-0.4479999542236328,-2.0,382,898,150.5329999923706
grid-3004388-m5,2.0,13,2.0,3.0,60.5,608,-1.005000114440918,2.0,522,901,66.18499994277954
grid-3005559-m1,3.0,16,3.0,9.0,241.0,599,-0.9000000953674316,3.0,399,901,271.41100001335144
grid-3005559-m2,204.0,25,681.0,9.0,184.0,88,-1.0759999752044678,204.0,124,901,0.0
grid-3005559-m3,3.0,12,2.0,2.0,116.5,524,-0.869999885559082,3.0,319,901,0.0
grid-3005560-m1,2.0,13,2.0,0.0,129.0,668,-1.0239999294281006,2.0,438,901,26.615000009536743
grid-3005560-m2,3.0,10,2.0,2.0,90.0,510,-0.9509999752044678,3.0,371,901,53.88700008392334
grid-3005560-m3,3.0,17,3.0,2.0,90.0,509,-0.994999885559082,3.0,349,901,166.10400009155273
grid-3005562-m1,2.0,12,2.0,0.0,118.0,498,-0.14100003242492676,2.0,395,901,60.98699998855591
grid-3005562-m2,3.0,19,3.0,4.0,75.0,514,-0.4590001106262207,3.0,479,901,0.0
grid-3005562-m3,3.0,10,3.0,2.0,70.0,536,-0.6589999198913574,3.0,440,901,103.82000017166138
grid-3005563-m1,2.0,12,2.0,4.0,55.0,547,-0.812000036239624,2.0,409,901,0.0
grid-3005563-m2,2.0,17,3.0,3.0,155.0,531,-0.6059999465942383,2.0,616,901,94.15400004386902
grid-3005563-m3,2.0,19,2.0,1.0,105.0,545,-0.5439999103546143,2.0,400,901,100.18700003623962
grid-3005563-m4,3.0,21,2.0,3.0,115.0,629,-0.4240000247955322,3.0,449,901,7.413000106811523
grid-3005569-m1,2.5,6,2.0,3.0,63.0,503,-0.8870000839233398,2.5,402,901,0.0
grid-3005569-m2,2.0,11,1.0,5.0,79.0,510,-0.5480000972747803,2.0,339,901,0.0
grid-3005569-m3,3.0,29,2.0,4.0,191.0,613,-0.8640000820159912,3.0,461,901,40.50600004196167
grid-3005570-m1,2.0,18,2.0,3.0,59.0,531,-0.6770000457763672,2.0,323,901,73.5530002117157
grid-3005570-m2,2.0,17,2.0,3.0,70.5,478,-0.6960000991821289,2.0,300,901,136.95099997520447
