match,xp_step_offset,n,sd
grid-2976631-m1,2.0,31,0.8109551670952602
grid-2976631-m2,2.0,43,3.180864908859752
grid-2976631-m3,2.0,36,6.447018164227284
grid-2976631-m4,3.0,35,0.6676183683170241
grid-2976631-m5,2.0,39,0.5969459859909135
grid-2977835-m1,2.0,39,10.009528662070851
grid-2977835-m2,2.0,35,0.7591617288906527
grid-2977835-m3,3.0,39,0.7969369368164131
grid-2977837-m1,3.0,32,5.925316447245666
grid-2977837-m2,2.0,45,1.3480667456091642
grid-2977837-m3,3.0,37,0.8233268222555576
grid-2978288-m1,2.0,33,0.8142441722754185
grid-2978288-m2,3.0,39,0.5629358564128243
grid-2978288-m3,3.0,36,1.228205053857452
grid-2980509-m1,3.0,31,4.506210305959994
grid-2980509-m2,2.0,35,0.7091242083423347
grid-2980509-m3,2.0,28,0.8474150369789052
grid-2984640-m1,2.0,43,1.1473391984692103
grid-2984640-m2,3.0,34,4.665358607251543
grid-2984640-m3,3.0,34,9.829383602592811
grid-2984645-m1,3.0,39,1.793405994876483
grid-2984645-m2,4.0,44,2.986885937444847
grid-2984646-m1,3.0,44,1.268458751125075
grid-2984646-m2,2.0,33,10.97128734495226
grid-2987004-m1,2.5,38,2.1873788055069845
grid-2987004-m2,2.0,40,1.4142135623730951
grid-2987004-m3,2.0,41,4.659111189183054
grid-2987004-m4,2.0,37,0.5994884598059144
grid-2987005-m1,2.0,38,2.1172356932116503
grid-2987005-m2,3.0,30,5.1778373863998475
grid-2987005-m3,3.0,43,7.1597698250767845
grid-2987005-m4,3.0,41,5.890231278075649
grid-2987006-m1,3.0,40,0.7870038119348597
grid-2987006-m2,3.0,38,1.045038402719199
grid-2987006-m3,2.0,34,10.048024819245128
grid-2987006-m4,2.0,29,0.5666095422467236
grid-2987017-m1,4.0,32,8.608680212436747
grid-2987017-m2,2.0,37,0.7480190542215159
grid-2987017-m3,3.0,35,0.7148569144683888
grid-2987018-m1,2.0,39,7.8570395409756575
grid-2987018-m2,3.0,42,0.7711492733667451
grid-2987018-m4,3.0,42,0.8883218145798872
grid-2987018-m5,3.0,36,3.235962085266753
grid-2987019-m1,2.0,28,1.5
grid-2987019-m2,2.0,18,0.9111788592698181
grid-2987019-m3,2.0,36,1.6414763002993507
grid-2987019-m4,2.0,35,2.2314999074019015
grid-2987019-m5,3.0,39,0.7142763219068778
grid-2987020-m1,2.0,33,0.8097205585386296
grid-2987020-m2,3.0,39,6.086490359108338
grid-2987020-m3,3.0,33,3.059855893664082
grid-2987020-m4,2.0,37,0.6174951166916682
grid-2987021-m1,3.0,33,0.8855538906789369
grid-2987021-m2,3.0,40,0.5910795208768445
grid-2987021-m3,3.0,33,0.8656276883082243
grid-2987021-m4,3.0,31,0.8775142263700284
grid-2991209-m2,3.0,44,4.027282987879397
grid-2991210-m1,3.0,42,7.636178657535191
grid-2991210-m2,3.0,44,5.478357116345636
grid-2991210-m3,2.0,49,0.7559289460184545
grid-2991212-m1,2.0,36,1.4390926496654024
grid-2991212-m2,2.0,43,2.4880460555803667
grid-2991212-m3,3.0,54,1.6216132799251588
grid-2991213-m1,3.0,41,2.322330364618076
grid-2991213-m2,3.0,53,3.3966456764273483
grid-2991214-m1,3.0,38,6.914044881290445
grid-2991214-m2,3.0,36,1.320248293146238
grid-2991214-m3,3.0,37,1.0613056170849657
grid-2991216-m1,2.0,35,1.8726822409341646
grid-2991216-m2,3.0,37,3.1397915095043474
grid-2991216-m3,2.0,34,1.2725475089872904
grid-2991217-m1,3.0,41,1.377131142779815
grid-2991217-m2,2.0,33,13.01514269587312
grid-2991218-m1,3.0,42,1.1170194386418952
grid-2991218-m2,2.0,31,2.032002032003048
grid-2994622-m1,3.0,32,0.856386850377795
grid-2994622-m2,2.0,29,10.377878237780235
grid-2996948-m1,2.0,36,0.9949719271429064
grid-2996948-m2,2.0,28,10.225019335344225
grid-2996948-m3,3.0,42,11.565376626290062
grid-2996948-m4,2.0,37,0.7150679219093486
grid-2996948-m5,3.0,27,0.8748897637790901
grid-2996949-m1,1.0,36,8.29821303089845
grid-2996949-m2,2.0,37,12.975056139051626
grid-2996949-m4,-6.0,35,5.732827061969425
grid-2998724-m3,3.0,41,0.632267385210523
grid-2998724-m4,3.0,35,1.019803902718557
grid-2999024-m1,3.0,40,0.6782329983125268
grid-2999024-m2,2.0,53,0.8913971178126578
grid-2999024-m4,2.0,46,1.981483280887972
grid-2999024-m5,2.0,32,1.2103072956898178
grid-3000371-m1,3.0,35,0.7698396334461416
grid-3000371-m2,2.0,39,2.037453387212198
grid-3000371-m3,2.0,33,1.6335553905386129
grid-3000372-m1,2.0,33,0.7119600075436807
grid-3000372-m2,2.0,42,1.139877067008174
grid-3000372-m3,2.0,36,9.512986575216374
grid-3000372-m4,3.0,10,5.817215828899594
grid-3000375-m1,2.0,36,8.769818824937163
grid-3000375-m2,2.0,34,8.240964434439004
grid-3000375-m3,2.0,35,1.6984987368802111
grid-3000375-m4,2.0,32,1.3136155973114814
grid-3000375-m5,2.0,44,1.0130858676373942
grid-3002597-m1,2.0,37,9.660564978555556
grid-3002597-m2,2.0,33,8.319823760229877
grid-3002597-m3,2.0,40,1.6401219466856725
grid-3002598-m1,2.0,34,1.0344414938275868
grid-3002598-m2,3.0,39,0.7466779373621045
grid-3002598-m3,2.0,39,3.0397325049273936
grid-3002598-m4,2.0,39,2.7036391575578427
grid-3002599-m1,3.0,43,4.522882151123057
grid-3002599-m2,3.0,32,12.57038776002952
grid-3002599-m3,3.0,32,10.447740111502583
grid-3002599-m4,3.0,39,3.0141022914417084
grid-3002600-m1,3.0,30,1.175679472569893
grid-3002600-m2,2.0,32,1.2231491119238078
grid-3002600-m3,2.0,33,1.5109031348264133
