game,rule,latency_s,mode,day,delta
lol,losing_300s,2,all_at_bid,2026-09-12,0.0
lol,losing_300s,2,top_only,2026-09-07,0.0
lol,losing_300s,2,top_only,2026-09-08,-1.3722404574999998
lol,losing_300s,2,top_only,2026-09-09,-1.0189689999999998
lol,losing_300s,2,top_only,2026-09-10,6.514095999999997
lol,losing_300s,2,top_only,2026-09-11,0.0
lol,losing_300s,2,top_only,2026-09-12,0.0
lol,loss_15pct,2,all_at_bid,2026-09-07,14.640184592898999
lol,loss_15pct,2,all_at_bid,2026-09-08,-13.623309988533997
lol,loss_15pct,2,all_at_bid,2026-09-09,-64.383151955444
lol,loss_15pct,2,all_at_bid,2026-09-10,30.130354683919
lol,loss_15pct,2,all_at_bid,2026-09-11,-9.965761846708
lol,loss_15pct,2,all_at_bid,2026-09-12,-1.2044368721099974
lol,loss_15pct,2,top_only,2026-09-07,0.26944203839817304
lol,loss_15pct,2,top_only,2026-09-08,-3.3590758325
lol,loss_15pct,2,top_only,2026-09-09,-36.318649022500004
lol,loss_15pct,2,top_only,2026-09-10,19.57624849959589
lol,loss_15pct,2,top_only,2026-09-11,-9.492818404208
lol,loss_15pct,2,top_only,2026-09-12,-0.9555052421099979
lol,loss_20pct,2,all_at_bid,2026-09-07,12.741817995593998
lol,loss_20pct,2,all_at_bid,2026-09-08,0.0
lol,loss_20pct,2,all_at_bid,2026-09-09,-33.062844799097746
lol,loss_20pct,2,all_at_bid,2026-09-10,19.10043498151
lol,loss_20pct,2,all_at_bid,2026-09-11,-3.243557290000001
lol,loss_20pct,2,all_at_bid,2026-09-12,-0.7611366299999984
lol,loss_20pct,2,top_only,2026-09-07,-0.43629229410183146
lol,loss_20pct,2,top_only,2026-09-08,0.0
lol,loss_20pct,2,top_only,2026-09-09,-11.578783999999995
lol,loss_20pct,2,top_only,2026-09-10,36.255595044747885
lol,loss_20pct,2,top_only,2026-09-11,-3.243557290000001
lol,loss_20pct,2,top_only,2026-09-12,-0.5122049999999989
lol,losing_480s,2,all_at_bid,2026-09-07,0.0
lol,losing_480s,2,all_at_bid,2026-09-08,-0.752918897499999
lol,losing_480s,2,all_at_bid,2026-09-09,0.0
lol,losing_480s,2,all_at_bid,2026-09-10,1.9055734525249903
lol,losing_480s,2,all_at_bid,2026-09-11,0.0
lol,losing_480s,2,all_at_bid,2026-09-12,0.0
lol,losing_480s,2,top_only,2026-09-07,0.0
lol,losing_480s,2,top_only,2026-09-08,-0.752918897499999
lol,losing_480s,2,top_only,2026-09-09,0.0
lol,losing_480s,2,top_only,2026-09-10,0.09754999999999825
lol,losing_480s,2,top_only,2026-09-11,0.0
lol,losing_480s,2,top_only,2026-09-12,0.0
lol,reverse_2signals,2,all_at_bid,2026-09-07,0.0
lol,reverse_2signals,2,all_at_bid,2026-09-08,0.0
lol,reverse_2signals,2,all_at_bid,2026-09-09,0.0
lol,reverse_2signals,2,all_at_bid,2026-09-10,-3.3729508026960016
lol,reverse_2signals,2,all_at_bid,2026-09-11,0.0
lol,reverse_2signals,2,all_at_bid,2026-09-12,-0.03976193250000026
lol,reverse_2signals,2,top_only,2026-09-07,0.0
lol,reverse_2signals,2,top_only,2026-09-08,0.0
lol,reverse_2signals,2,top_only,2026-09-09,0.0
lol,reverse_2signals,2,top_only,2026-09-10,-2.000548791126471
lol,reverse_2signals,2,top_only,2026-09-11,0.0
lol,reverse_2signals,2,top_only,2026-09-12,-0.03976193250000026
lol,stop_3c,5,all_at_bid,2026-09-07,18.865427277869003
lol,stop_3c,5,all_at_bid,2026-09-08,-11.014865283699004
