game,rule,latency_s,mode,maps,triggered,baseline_net,delta_net,candidate_net,baseline_worst,candidate_worst,baseline_tail5,candidate_tail5,delta_with_extra_1c
lol,losing_300s,2,all_at_bid,47,5,-128.061366937352,-4.501337361350238,-132.56270429870224,-66.45923032786749,-30.231476957401,-42.24448608694983,-30.064508565608165,-12.16658256135024
lol,losing_300s,2,top_only,47,5,-128.061366937352,4.122886542499998,-123.93848039485201,-66.45923032786749,-59.35114032786749,-42.24448608694983,-39.8751227536165,3.317786542499998
lol,loss_15pct,2,all_at_bid,47,26,-128.061366937352,-44.406121385978,-172.46748832333,-66.45923032786749,-63.10559577467875,-42.24448608694983,-38.36231831369075,-65.79244478597799
lol,loss_15pct,2,top_only,47,26,-128.061366937352,-30.28035796332395,-158.34172490067596,-66.45923032786749,-41.621534975581,-42.24448608694983,-35.861525752734934,-40.153579173323955
lol,loss_20pct,2,all_at_bid,47,15,-128.061366937352,-5.22528574199373,-133.28665267934574,-66.45923032786749,-63.10559577467875,-42.24448608694983,-38.55558768577375,-20.244000281993728
lol,loss_20pct,2,top_only,47,15,-128.061366937352,20.484756460646068,-107.57661047670594,-66.45923032786749,-41.621534975581,-42.24448608694983,-31.52305612786827,14.027442270646066
lol,losing_480s,2,all_at_bid,47,2,-128.061366937352,1.152654555024995,-126.90871238232701,-66.45923032786749,-64.5536568753425,-42.24448608694983,-41.609294936108164,-0.8810779949750049
lol,losing_480s,2,top_only,47,2,-128.061366937352,-0.6553688975000114,-128.71673583485202,-66.45923032786749,-66.36168032786749,-42.24448608694983,-42.21196942028316,-0.8356688975000114
lol,reverse_2signals,2,all_at_bid,47,2,-128.061366937352,-3.41271273519601,-131.47407967254802,-66.45923032786749,-66.45923032786749,-42.24448608694983,-42.24448608694983,-4.8455400151960095
lol,reverse_2signals,2,top_only,47,2,-128.061366937352,-2.040310723626476,-130.10167766097848,-66.45923032786749,-66.45923032786749,-42.24448608694983,-42.24448608694983,-2.961210723626476
lol,stop_3c,5,all_at_bid,47,50,-128.061366937352,38.70665742858212,-89.35470950876989,-66.45923032786749,-16.279454983467488,-42.24448608694983,-16.049514119211416,17.601400758582123
lol,stop_3c,5,top_only,47,50,-128.061366937352,-9.814996497561594,-137.8763634349136,-66.45923032786749,-63.890430327867485,-42.24448608694983,-39.602578757210146,-18.358929227561596
lol,stop_5c,5,all_at_bid,47,32,-128.061366937352,2.369751031281126,-125.69161590607088,-66.45923032786749,-30.042750975581004,-42.24448608694983,-24.277821190518164,-16.30446386871887
lol,stop_5c,5,top_only,47,32,-128.061366937352,-24.837013500519987,-152.898380437872,-66.45923032786749,-63.890430327867485,-42.24448608694983,-39.96044283373213,-33.670341630519985
lol,stop_8c,5,all_at_bid,47,18,-128.061366937352,9.34095295995526,-118.72041397739675,-66.45923032786749,-30.862179783076744,-42.24448608694983,-29.793575529344253,-6.297592830044739
lol,stop_8c,5,top_only,47,18,-128.061366937352,-24.01907332136676,-152.08044025871877,-66.45923032786749,-63.890430327867485,-42.24448608694983,-41.59845369550841,-30.849934791366763
lol,loss_10pct,5,all_at_bid,47,34,-128.061366937352,23.759065821684302,-104.3023011156677,-66.45923032786749,-23.513551123076738,-42.24448608694983,-18.680122942598075,1.5930518416843
lol,loss_10pct,5,top_only,47,34,-128.061366937352,-26.104613232525026,-154.16598016987703,-66.45923032786749,-63.890430327867485,-42.24448608694983,-39.602578757210146,-35.62319591252503
lol,losing_300s,5,all_at_bid,47,5,-128.061366937352,-7.584092677175249,-135.64545961452725,-66.45923032786749,-30.231476957401,-42.24448608694983,-30.064508565608165,-15.24933787717525
lol,losing_300s,5,top_only,47,5,-128.061366937352,-5.948332907500003,-134.009699844852,-66.45923032786749,-62.718130327867485,-42.24448608694983,-40.99745275361649,-7.503432907500002
lol,loss_15pct,5,all_at_bid,47,24,-128.061366937352,-5.7448283261842334,-133.80619526353624,-66.45923032786749,-34.53098264158175,-42.24448608694983,-27.950298363353166,-22.737280756184234
lol,loss_15pct,5,top_only,47,24,-128.061366937352,-28.938876323344516,-157.00024326069652,-66.45923032786749,-63.890430327867485,-42.24448608694983,-40.627907270394665,-36.180411333344516
