match_id,game,side,outcome,fill_second,fill_ts_utc,fill_price,fill_size,horizon_s,matched_signal_second,target_game_second,match_distance_s,future_mid,raw_mid_minus_fill_cents,signed_markout_cents
grid-2987018-m1,lol,SELL,yes,297,2026-09-02T08:16:12.032000Z,0.65,158.72,60,362,356.83849999999995,5.161500000000046,0.665,1.5000000000000013,-1.5000000000000013
grid-2987018-m1,lol,SELL,yes,297,2026-09-02T08:16:12.032000Z,0.65,158.72,300,597,596.8385000000001,0.1614999999999327,0.72,6.999999999999995,-6.999999999999995
grid-2987018-m1,lol,BUY,yes,378,2026-09-02T08:17:33.211000Z,0.66,151.52,10,389,388.01750000000004,0.9824999999999591,0.655,-0.5000000000000004,-0.5000000000000004
grid-2987018-m1,lol,BUY,yes,378,2026-09-02T08:17:33.211000Z,0.66,151.52,30,411,408.01750000000004,2.982499999999959,0.655,-0.5000000000000004,-0.5000000000000004
grid-2987018-m1,lol,BUY,yes,378,2026-09-02T08:17:33.211000Z,0.66,151.52,60,440,438.01750000000004,1.982499999999959,0.735,7.499999999999996,7.499999999999996
grid-2987018-m1,lol,SELL,yes,445,2026-09-02T08:18:40.176000Z,0.7,151.52,10,464,454.98249999999996,9.017500000000041,0.655,-4.499999999999993,4.499999999999993
grid-2987018-m1,lol,SELL,yes,445,2026-09-02T08:18:40.176000Z,0.7,151.52,30,476,474.98249999999996,1.017500000000041,0.605,-9.499999999999996,9.499999999999996
grid-2987018-m1,lol,SELL,yes,445,2026-09-02T08:18:40.176000Z,0.7,151.52,60,507,504.98249999999996,2.017500000000041,0.645,-5.499999999999994,5.499999999999994
grid-2987018-m2,lol,BUY,yes,164,2026-09-02T09:07:53.051000Z,0.5300000092043767,32.59319,10,176,174.5045,1.4954999999999927,0.545,1.4999990795623308,1.4999990795623308
grid-2987018-m2,lol,BUY,yes,164,2026-09-02T09:07:53.051000Z,0.5300000092043767,32.59319,30,199,194.5045,4.495499999999993,0.545,1.4999990795623308,1.4999990795623308
grid-2987018-m2,lol,BUY,yes,164,2026-09-02T09:07:53.051000Z,0.5300000092043767,32.59319,60,230,224.5045,5.495499999999993,0.555,2.4999990795623317,2.4999990795623317
grid-2987018-m2,lol,BUY,yes,164,2026-09-02T09:07:53.051000Z,0.5300000092043767,32.59319,300,471,464.5045,6.495499999999993,0.435,-9.500000920437673,-9.500000920437673
grid-2987018-m2,lol,SELL,yes,208,2026-09-02T09:08:37.111000Z,0.56,32.59,10,223,218.5645,4.4354999999999905,0.555,-0.5000000000000004,0.5000000000000004
grid-2987018-m2,lol,SELL,yes,208,2026-09-02T09:08:37.111000Z,0.56,32.59,30,239,238.5645,0.43549999999999045,0.555,-0.5000000000000004,0.5000000000000004
grid-2987018-m2,lol,SELL,yes,208,2026-09-02T09:08:37.111000Z,0.56,32.59,300,509,508.5645,0.43549999999999045,0.27,-29.000000000000004,29.000000000000004
grid-2987018-m2,lol,BUY,yes,230,2026-09-02T09:08:57.160000Z,0.54,185.19,10,239,238.61350000000002,0.38649999999998386,0.555,1.5000000000000013,1.5000000000000013
grid-2987018-m2,lol,BUY,yes,230,2026-09-02T09:08:57.160000Z,0.54,185.19,300,529,528.6134999999999,0.3865000000000691,0.24,-30.000000000000004,-30.000000000000004
grid-2987018-m2,lol,SELL,yes,249,2026-09-02T09:09:22.327000Z,0.57,185.19,60,314,313.7805,0.21949999999998226,0.575,0.5000000000000004,-0.5000000000000004
grid-2987018-m2,lol,SELL,yes,249,2026-09-02T09:09:22.327000Z,0.57,185.19,300,554,553.7805000000001,0.21949999999992542,0.215,-35.5,35.5
grid-2987018-m2,lol,BUY,yes,378,2026-09-02T09:11:26.042000Z,0.54,185.19,10,389,387.4955,1.5045000000000073,0.505,-3.500000000000003,-3.500000000000003
grid-2987018-m2,lol,BUY,yes,378,2026-09-02T09:11:26.042000Z,0.54,185.19,30,408,407.4955,0.5045000000000073,0.45999999999999996,-8.000000000000007,-8.000000000000007
grid-2987018-m2,lol,BUY,yes,378,2026-09-02T09:11:26.042000Z,0.54,185.19,60,439,437.4955,1.5045000000000073,0.415,-12.500000000000005,-12.500000000000005
grid-2987018-m2,lol,BUY,yes,378,2026-09-02T09:11:26.042000Z,0.54,185.19,300,678,677.4955,0.5045000000000073,0.15500000000000003,-38.5,-38.5
grid-2987018-m2,lol,SELL,yes,396,2026-09-02T09:11:43.078000Z,0.51,185.19,10,408,404.5315,3.468500000000006,0.45999999999999996,-5.000000000000004,5.000000000000004
grid-2987018-m2,lol,SELL,yes,396,2026-09-02T09:11:43.078000Z,0.51,185.19,30,426,424.5315,1.468500000000006,0.45,-6.0,6.0
grid-2987018-m2,lol,SELL,yes,396,2026-09-02T09:11:43.078000Z,0.51,185.19,300,695,694.5315,0.46849999999994907,0.165,-34.5,34.5
grid-2987018-m2,lol,BUY,no,446,2026-09-02T09:12:36.171000Z,0.5800000067200002,47.619046,30,478,477.6245,0.3754999999999882,0.565,-1.5000006720000236,-1.5000006720000236
grid-2987018-m2,lol,BUY,no,446,2026-09-02T09:12:36.171000Z,0.5800000067200002,47.619046,60,509,507.6245,1.3754999999999882,0.73,14.99999932799998,14.99999932799998
grid-2987018-m2,lol,BUY,no,446,2026-09-02T09:12:36.171000Z,0.5800000067200002,47.619046,300,750,747.6245000000001,2.3754999999998745,0.775,19.499999327999983,19.499999327999983
grid-2987018-m2,lol,SELL,no,509,2026-09-02T09:13:35.084000Z,0.61,47.61,10,519,516.5374999999999,2.462500000000091,0.715,10.499999999999998,-10.499999999999998
grid-2987018-m2,lol,SELL,no,509,2026-09-02T09:13:35.084000Z,0.61,47.61,30,537,536.5374999999999,0.46250000000009095,0.775,16.500000000000004,-16.500000000000004
grid-2987018-m2,lol,SELL,no,509,2026-09-02T09:13:35.084000Z,0.61,47.61,60,567,566.5374999999999,0.46250000000009095,0.805,19.500000000000007,-19.500000000000007
grid-2987018-m2,lol,SELL,no,509,2026-09-02T09:13:35.084000Z,0.61,47.61,300,808,806.5374999999999,1.462500000000091,0.81,20.000000000000007,-20.000000000000007
grid-2987018-m4,lol,BUY,no,127,2026-09-02T10:48:55.160000Z,0.43,232.56,30,161,155.952,5.048000000000002,0.425,-0.5000000000000004,-0.5000000000000004
grid-2987018-m4,lol,BUY,no,127,2026-09-02T10:48:55.160000Z,0.43,232.56,60,189,185.952,3.048000000000002,0.425,-0.5000000000000004,-0.5000000000000004
grid-2987018-m4,lol,BUY,no,127,2026-09-02T10:48:55.160000Z,0.43,232.56,300,429,425.952,3.048000000000002,0.385,-4.499999999999998,-4.499999999999998
grid-2987018-m4,lol,SELL,no,178,2026-09-02T10:49:46.154000Z,0.4299999703685266,8.436975,10,189,186.946,2.054000000000002,0.425,-0.49999703685266184,0.49999703685266184
grid-2987018-m4,lol,SELL,no,178,2026-09-02T10:49:46.154000Z,0.4299999703685266,8.436975,60,241,236.946,4.054000000000002,0.435,0.500002963147339,-0.500002963147339
grid-2987018-m4,lol,SELL,no,178,2026-09-02T10:49:46.154000Z,0.4299999703685266,8.436975,300,477,476.946,0.053999999999973625,0.305,-12.499997036852662,12.499997036852662
grid-2987018-m4,lol,SELL,no,178,2026-09-02T10:49:47.208000Z,0.4299998267163584,3.116278,10,189,188.0,1.0,0.425,-0.4999826716358402,0.4999826716358402
grid-2987018-m4,lol,SELL,no,178,2026-09-02T10:49:47.208000Z,0.4299998267163584,3.116278,60,241,238.0,3.0,0.435,0.5000173283641607,-0.5000173283641607
grid-2987018-m4,lol,SELL,no,178,2026-09-02T10:49:47.208000Z,0.4299998267163584,3.116278,300,486,478.0,8.0,0.295,-13.499982671635841,13.499982671635841
grid-2987018-m4,lol,SELL,no,197,2026-09-02T10:50:05.032000Z,0.43,97.57,30,228,225.824,2.1759999999999877,0.435,0.5000000000000004,-0.5000000000000004
grid-2987018-m4,lol,SELL,no,197,2026-09-02T10:50:05.032000Z,0.43,97.57,60,258,255.82399999999998,2.176000000000016,0.445,1.5000000000000013,-1.5000000000000013
grid-2987018-m4,lol,SELL,no,197,2026-09-02T10:50:05.032000Z,0.43,97.57,300,499,495.82399999999996,3.1760000000000446,0.345,-8.500000000000002,8.500000000000002
grid-2987018-m4,lol,SELL,no,197,2026-09-02T10:50:11.212000Z,0.43,90.87,30,241,232.004,8.99600000000001,0.435,0.5000000000000004,-0.5000000000000004
grid-2987018-m4,lol,SELL,no,197,2026-09-02T10:50:11.212000Z,0.43,90.87,300,503,502.004,0.9959999999999809,0.395,-3.4999999999999973,3.4999999999999973
grid-2987018-m4,lol,SELL,no,197,2026-09-02T10:50:10.099000Z,0.4299999895571424,32.558138,30,231,230.891,0.10900000000000887,0.435,0.5000010442857583,-0.5000010442857583
grid-2987018-m4,lol,SELL,no,197,2026-09-02T10:50:10.099000Z,0.4299999895571424,32.558138,300,502,500.89099999999996,1.1090000000000373,0.335,-9.49999895571424,9.49999895571424
grid-2987018-m4,lol,BUY,yes,348,2026-09-02T10:52:46.032000Z,0.61,163.93,10,369,366.82399999999996,2.1760000000000446,0.62,1.0000000000000009,1.0000000000000009
grid-2987018-m4,lol,BUY,yes,348,2026-09-02T10:52:46.032000Z,0.61,163.93,300,659,656.8240000000001,2.175999999999931,0.575,-3.500000000000003,-3.500000000000003
grid-2987018-m4,lol,SELL,yes,446,2026-09-02T10:54:14.089000Z,0.68,163.93,10,455,454.881,0.1190000000000282,0.715,3.499999999999992,-3.499999999999992
grid-2987018-m4,lol,SELL,yes,446,2026-09-02T10:54:14.089000Z,0.68,163.93,30,477,474.881,2.119000000000028,0.695,1.4999999999999902,-1.4999999999999902
grid-2987018-m4,lol,SELL,yes,446,2026-09-02T10:54:14.089000Z,0.68,163.93,60,508,504.881,3.119000000000028,0.625,-5.500000000000005,5.500000000000005
grid-2987018-m4,lol,BUY,yes,486,2026-09-02T10:54:57.174000Z,0.6900000043252926,143.342902,10,499,497.966,1.0339999999999918,0.655,-3.50000043252926,-3.50000043252926
grid-2987018-m4,lol,BUY,yes,486,2026-09-02T10:54:57.174000Z,0.6900000043252926,143.342902,30,523,517.966,5.033999999999992,0.6,-9.000000432529266,-9.000000432529266
grid-2987018-m4,lol,BUY,yes,486,2026-09-02T10:54:57.174000Z,0.6900000043252926,143.342902,60,549,547.966,1.0339999999999918,0.595,-9.500000432529266,-9.500000432529266
grid-2987018-m4,lol,BUY,yes,486,2026-09-02T10:54:57.174000Z,0.6900000043252926,143.342902,300,793,787.966,5.033999999999992,0.885,19.499999567470738,19.499999567470738
grid-2987018-m4,lol,SELL,yes,604,2026-09-02T10:57:05.255000Z,0.5699999522316334,18.631577,30,650,646.047,3.9529999999999745,0.575,0.50000477683666,-0.50000477683666
grid-2987018-m4,lol,SELL,yes,604,2026-09-02T10:57:05.255000Z,0.5699999522316334,18.631577,60,677,676.047,0.9529999999999745,0.7949999999999999,22.500004776836658,-22.500004776836658
grid-2987018-m4,lol,SELL,yes,604,2026-09-02T10:57:05.255000Z,0.5699999522316334,18.631577,300,919,916.047,2.9529999999999745,0.845,27.50000477683666,-27.50000477683666
grid-2987018-m4,lol,SELL,yes,620,2026-09-02T10:57:09.200000Z,0.57,124.7,30,650,649.9920000000001,0.007999999999924512,0.575,0.5000000000000004,-0.5000000000000004
grid-2987018-m4,lol,SELL,yes,620,2026-09-02T10:57:09.200000Z,0.57,124.7,60,680,679.9920000000001,0.007999999999924512,0.785,21.500000000000007,-21.500000000000007
grid-2987018-m4,lol,SELL,yes,620,2026-09-02T10:57:09.200000Z,0.57,124.7,300,921,919.9920000000001,1.0079999999999245,0.86,29.000000000000004,-29.000000000000004
grid-2987018-m5,lol,BUY,yes,206,2026-09-02T11:42:05.079000Z,0.64,156.25,10,217,213.966,3.033999999999992,0.665,2.500000000000002,2.500000000000002
grid-2987018-m5,lol,BUY,yes,206,2026-09-02T11:42:05.079000Z,0.64,156.25,30,235,233.966,1.0339999999999918,0.69,4.999999999999993,4.999999999999993
grid-2987018-m5,lol,BUY,yes,206,2026-09-02T11:42:05.079000Z,0.64,156.25,60,264,263.966,0.033999999999991815,0.655,1.5000000000000013,1.5000000000000013
grid-2987018-m5,lol,BUY,yes,206,2026-09-02T11:42:05.079000Z,0.64,156.25,300,505,503.966,1.0339999999999918,0.735,9.499999999999996,9.499999999999996
grid-2987018-m5,lol,SELL,yes,235,2026-09-02T11:42:40.196000Z,0.68,156.25,10,250,249.083,0.9170000000000016,0.665,-1.5000000000000013,1.5000000000000013
grid-2987018-m5,lol,SELL,yes,235,2026-09-02T11:42:40.196000Z,0.68,156.25,60,300,299.083,0.9169999999999732,0.655,-2.500000000000002,2.500000000000002
grid-2987018-m5,lol,BUY,yes,300,2026-09-02T11:43:44.225000Z,0.66,151.52,10,322,313.112,8.887999999999977,0.645,-1.5000000000000013,-1.5000000000000013
grid-2987018-m5,lol,BUY,yes,300,2026-09-02T11:43:44.225000Z,0.66,151.52,30,336,333.112,2.887999999999977,0.655,-0.5000000000000004,-0.5000000000000004
grid-2987018-m5,lol,BUY,yes,300,2026-09-02T11:43:44.225000Z,0.66,151.52,300,604,603.1120000000001,0.88799999999992,0.835,17.499999999999993,17.499999999999993
grid-2987018-m5,lol,SELL,yes,478,2026-09-02T11:46:39.113000Z,0.69,110.01,10,488,488.0,0.0,0.735,4.5000000000000036,-4.5000000000000036
grid-2987018-m5,lol,SELL,yes,478,2026-09-02T11:46:39.113000Z,0.69,110.01,30,508,508.0,0.0,0.735,4.5000000000000036,-4.5000000000000036
grid-2987018-m5,lol,SELL,yes,492,2026-09-02T11:46:50.088000Z,0.73,41.51,10,502,498.975,3.0249999999999773,0.745,1.5000000000000013,-1.5000000000000013
grid-2987018-m5,lol,SELL,yes,492,2026-09-02T11:46:50.088000Z,0.73,41.51,60,551,548.9749999999999,2.025000000000091,0.775,4.5000000000000036,-4.5000000000000036
grid-2987019-m1,lol,BUY,no,200,2026-09-03T08:11:41.287000Z,0.68,44.12,10,233,227.654,5.346000000000004,0.685,0.5000000000000004,0.5000000000000004
grid-2987019-m1,lol,BUY,no,200,2026-09-03T08:11:41.287000Z,0.68,44.12,30,254,247.654,6.346000000000004,0.695,1.4999999999999902,1.4999999999999902
grid-2987019-m1,lol,BUY,no,200,2026-09-03T08:11:41.287000Z,0.68,44.12,60,278,277.654,0.34600000000000364,0.705,2.499999999999991,2.499999999999991
grid-2987019-m1,lol,BUY,no,200,2026-09-03T08:11:41.287000Z,0.68,44.12,300,525,517.654,7.346000000000004,0.425,-25.500000000000007,-25.500000000000007
grid-2987019-m1,lol,SELL,no,349,2026-09-03T08:13:56.346000Z,0.64,44.12,10,371,362.71299999999997,8.287000000000035,0.635,-0.5000000000000004,0.5000000000000004
grid-2987019-m1,lol,SELL,no,349,2026-09-03T08:13:56.346000Z,0.64,44.12,30,385,382.71299999999997,2.2870000000000346,0.635,-0.5000000000000004,0.5000000000000004
