match_id,game,feed_source,joined_at_utc,tournament,teams_radiant,teams_dire,map_number,yes_is_radiant,fills,buy_fills,sell_fills,buy_notional,sell_notional,net,net_source,pnl_per_buy_notional,fill_outcomes,unknown_token_fills,first_entry_second,clip_buy_quote_median,clip_buy_quote_p90,clip_quote_count,hold_seconds_weighted_mean,hold_seconds_median_allocation,sell_matched_buy_shares,first_model_second,signal_rows,signal_gap_median_s,signal_gap_p90_s,signal_gap_gt5_s,signal_gap_gt10_s,signal_wall_offset_s,fill_offset_range_s,fill_offset_mad_s
grid-2996023-m1,dota,grid,2026-09-06T12:51:08.673541+00:00,<missing>,DYNASTY,Zero Tenacity,1,True,6,2,4,235.553755,252.992898,17.451552030000006,session_end cash+inventory,0.07408734379971997,no,0,257,199.999,200.00159999999997,12,26.685873965285815,121.0395,394.522956,65,337,6.0,18.0,150,76,4.1910000000000025,"[-0.7810000000000059, 13.156000000000006]",4.521000000000015
grid-2996023-m2,dota,grid,2026-09-06T14:01:44.926379+00:00,<missing>,Zero Tenacity,DYNASTY,2,False,8,2,6,399.99969999999996,363.092098,-36.907602,session_end cash+inventory,-0.09226907420180565,"no,yes",0,120,200.00160000000002,200.0034,7,88.39291360005572,79.98750000000001,786.3061319999999,93,261,4.5,16.0,91,45,5.14500000000001,"[1.1310000000000002, 15.177999999999997]",2.521500000000003
grid-2996026-m1,dota,grid,2026-09-07T09:16:27.274863+00:00,<missing>,_PowerRangers,Natus Vincere,1,False,6,2,4,114.771123,117.190995,2.4298333049999914,session_end cash+inventory,0.021171120761796426,yes,0,199,199.99710000000002,200.004,9,215.2188428157839,286.111,135.849887,65,395,5.0,17.0,160,81,6.072000000000003,"[4.106999999999999, 28.089999999999975]",1.924500000000009
grid-2996026-m2,dota,grid,2026-09-07T10:24:17.628724+00:00,<missing>,_PowerRangers,Natus Vincere,2,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,199.998,200.0,7,,,0.0,53,441,4.0,13.0,128,62,900.0,[],
grid-2996027-m1,dota,grid,2026-09-07T12:14:04.600892+00:00,<missing>,Klim Sani4,HULIGANI,1,False,2,1,1,10.001100000000001,10.812000000000001,0.8109000000000002,session_end cash+inventory,0.08108108108108109,yes,0,179,10.0008,10.001100000000001,12,632.921,632.921,27.03,80,329,6.0,16.0,152,65,13.039500000000004,"[7.079000000000008, 19.0]",5.960499999999996
grid-2996027-m2,dota,grid,2026-09-07T13:17:41.746316+00:00,<missing>,HULIGANI,Klim Sani4,2,True,4,3,1,23.746393,18.2869,-5.459493000000002,session_end cash+inventory,-0.22990830649522231,yes,0,240,10.0,10.0016,12,602.852,602.852,58.99,51,517,4.0,14.0,162,70,-0.8520000000000039,"[-0.8520000000000039, 42.0]",0.0
grid-2996028-m2,dota,grid,2026-09-07T17:02:27.644809+00:00,<missing>,Team Synapse,MOUZ,2,False,4,2,2,20.0009,22.6157,2.6148000000000007,session_end cash+inventory,0.1307341169647366,yes,0,128,10.0008,10.0031,51,93.95237773972602,94.4685,29.200000000000003,60,449,4.0,12.0,110,47,5.117500000000007,"[0.08800000000002228, 16.084000000000003]",2.5154999999999887
grid-2996028-m3,dota,grid,2026-09-07T18:06:38.245798+00:00,<missing>,Team Synapse,MOUZ,3,False,9,5,4,211.5965,238.0288,26.432299999999998,session_end cash+inventory,0.12491841783772416,yes,0,177,69.99889999999999,70.0,35,396.1743231574366,441.9995,284.674272,-33,516,6.0,18.0,212,111,57.15699999999998,"[53.096000000000004, 70.055]",4.060999999999979
grid-2996029-m1,dota,grid,2026-09-07T19:34:09.403421+00:00,<missing>,GamerLegion,Pipsqueak + 4,1,True,7,4,3,144.55100000000002,149.8344,5.283399999999986,session_end cash+inventory,0.036550421650490036,yes,0,120,69.9996,70.00160000000001,45,114.60610100692074,90.0035,212.56986,42,411,5.0,18.0,163,80,189.05200000000002,"[184.11599999999999, 194.07100000000003]",3.9460000000000264
grid-2996030-m1,dota,grid,2026-09-08T09:17:15.630816+00:00,<missing>,_PowerRangers,HULIGANI,1,True,7,2,5,139.9981,131.7118,-8.286299999999994,session_end cash+inventory,-0.05918866041753419,no,0,287,70.0005,70.00160000000001,46,64.87593712676744,82.949,201.52230899999998,63,502,4.5,17.0,181,92,97.18400000000003,"[96.11300000000006, 104.03300000000002]",1.0709999999999695
grid-2996030-m2,dota,grid,2026-09-08T10:40:24.070317+00:00,<missing>,HULIGANI,_PowerRangers,2,False,3,1,2,70.0,66.99510000000001,-3.004899999999992,session_end cash+inventory,-0.04292714285714275,no,0,113,70.0,70.00160000000001,65,349.8911382856528,349.03700000000003,99.992687,61,354,5.0,17.0,126,64,68.09799999999996,"[66.05699999999999, 74.09000000000003]",2.0409999999999684
grid-2996031-m1,dota,grid,2026-09-08T12:51:27.383225+00:00,<missing>,Pipsqueak + 4,Team Synapse,1,False,7,2,5,139.9985,152.822,12.82350000000001,session_end cash+inventory,0.09159740997224977,no,0,176,70.0002,70.00240000000001,33,258.2886887674328,240.89100000000002,252.263125,20,370,5.0,17.0,151,77,120.19099999999997,"[118.09000000000003, 128.176]",2.1009999999999422
grid-2996031-m2,dota,grid,2026-09-08T14:06:12.326393+00:00,<missing>,Team Synapse,Pipsqueak + 4,2,True,12,7,5,319.350855,345.2948,25.943945,session_end cash+inventory,0.08123962905939298,yes,0,186,70.0,70.00240000000001,60,53.802091100535534,68.931,606.178182,40,546,5.0,15.0,197,93,5.075500000000005,"[0.08699999999998909, 8.048999999999978]",1.1085000000000207
grid-2996031-m3,dota,grid,2026-09-08T15:34:24.199549+00:00,<missing>,Team Synapse,Pipsqueak + 4,3,True,4,3,1,185.876778,201.4532,15.576422000000008,session_end cash+inventory,0.08379972026414191,no,0,120,69.99965,70.00160000000001,16,108.86799999999998,108.868,265.07,66,600,3.0,11.0,166,54,1.2219999999999942,"[1.2219999999999942, 3.0900000000000034]",0.0
grid-2996032-m1,dota,grid,2026-09-08T16:49:17.583786+00:00,<missing>,Klim Sani4,Natus Vincere,1,False,15,8,7,379.28450000000004,433.9787,54.6942,session_end cash+inventory,0.14420362551066546,yes,0,184,69.99955,70.00240000000001,48,610.7347864378635,1407.098,645.6965230000001,49,348,5.0,17.0,138,70,21.30000000000001,"[15.927999999999997, 1194.249]",3.136000000000024
grid-2996032-m2,dota,grid,2026-09-08T18:15:41.346975+00:00,<missing>,Klim Sani4,Natus Vincere,2,False,8,4,4,174.440125,173.4666,-0.9735250000000001,session_end cash+inventory,-0.0055808547488715695,yes,0,135,70.00025,70.00160000000001,26,61.34657393321671,62.285,242.95,78,563,4.0,13.0,187,76,11.089500000000001,"[-4.0, 22.24600000000001]",6.077500000000001
grid-2996033-m1,dota,grid,2026-09-08T20:46:55.836816+00:00,<missing>,MOUZ,GamerLegion,1,True,5,3,2,90.1428,98.4198,8.277000000000001,session_end cash+inventory,0.09182097738255303,no,0,134,69.9989,70.002,42,103.00056609381056,237.239,154.78,61,401,6.0,20.0,176,96,69.167,"[66.75799999999998, 75.34300000000002]",0.8920000000000243
grid-2996033-m2,dota,grid,2026-09-08T22:49:37.122758+00:00,<missing>,GamerLegion,MOUZ,2,False,0,0,0,0,0,0.0,session_end cash+inventory,,<none>,0,,,,0,,,0.0,2510,169,6.0,25.0,76,44,900.0,[],
grid-2996033-m3,dota,grid,2026-09-08T23:41:09.357835+00:00,<missing>,MOUZ,GamerLegion,3,True,28,14,14,580.198811,507.2922,-72.90661099999991,session_end cash+inventory,-0.12565798070896067,yes,0,184,99.9999,100.00080000000001,27,170.80134309859932,183.998,1501.800089,-19,605,3.0,10.0,140,44,60.054,"[56.01999999999998, 78.19100000000003]",2.0579999999999643
grid-2996035-m1,dota,grid,2026-09-09T12:16:50.798677+00:00,<missing>,MOUZ,HULIGANI,1,True,25,18,7,365.34567000000004,368.83619999999996,3.490529999999975,session_end cash+inventory,0.009554047814498456,yes,0,111,100.00080000000001,100.00120000000001,19,28.29697547456361,61.9845,711.671088,67,261,5.0,19.0,103,53,1.1749999999999972,"[-1.9549999999999983, 8.12700000000001]",1.9549999999999983
grid-2996035-m2,dota,grid,2026-09-09T13:17:05.679085+00:00,<missing>,HULIGANI,MOUZ,2,False,23,10,13,470.3041,586.3494,116.04529999999997,session_end cash+inventory,0.2467452441941288,yes,0,280,99.9998,100.0025,52,303.9858932386506,234.997,728.3427609999999,53,344,3.0,9.0,77,25,5.124000000000024,"[2.1100000000000136, 21.134000000000015]",2.8170000000000073
