dir,train_prior,live_prior,train_mid0,live_first_mid,live_first_model_second,diff_c,flip_diff_c
grid-3005559-m1,0.04,0.045,0.04,0.039,80,0.4999999999999998,-91.49999999999999
grid-3005560-m1,0.595,0.585,0.595,0.575,78,-1.0000000000000009,17.999999999999993
grid-3005560-m3,0.87,0.86,0.87,0.865,92,-1.0000000000000009,73.0
grid-3005569-m1,0.22,0.235,0.22,0.2,80,1.4999999999999987,-54.50000000000001
grid-3005569-m2,0.23049999999999998,0.2235,0.23049999999999998,0.2455,76,-0.6999999999999978,-54.6
grid-3005569-m3,0.195,0.195,0.195,0.165,82,0.0,-60.999999999999986
grid-3005562-m1,0.5,0.575,0.5,0.33499999999999996,78,7.499999999999996,7.499999999999996
grid-3005562-m3,0.155,0.425,0.155,0.20500000000000002,79,27.0,-42.0
grid-3005563-m1,0.335,0.37,0.335,0.345,74,3.4999999999999973,-29.500000000000004
grid-3005563-m2,0.56,0.66,0.56,0.6,75,9.999999999999998,22.000000000000007
grid-3005563-m4,0.65,0.695,0.65,0.695,18,4.499999999999993,34.5
grid-3005570-m1,0.45499999999999996,0.435,0.45499999999999996,0.475,91,-1.9999999999999962,-11.000000000000004
grid-3005570-m2,0.585,0.575,0.585,0.595,84,-1.0000000000000009,15.999999999999993
grid-3005570-m3,0.615,0.615,0.615,0.635,76,0.0,23.0
grid-3005570-m4,0.54,0.555,0.54,0.635,78,1.5000000000000013,9.500000000000009
grid-2987017-m1,0.725,0.725,0.725,0.755,82,0.0,44.99999999999999
grid-2987017-m2,0.745,0.695,0.745,0.755,72,-5.000000000000004,43.99999999999999
grid-2987017-m3,0.745,0.698019801980198,0.745,0.775,74,-4.698019801980202,44.3019801980198
grid-2987018-m1,0.365,0.405,0.365,0.365,18,4.0000000000000036,-23.0
grid-2987018-m4,0.445,0.435,0.445,0.425,96,-1.0000000000000009,-11.999999999999995
grid-2987018-m5,0.455,0.445,0.455,0.495,76,-1.0000000000000009,-9.999999999999993
grid-2987019-m1,0.315,0.355,0.315,0.305,46,3.9999999999999982,-33.00000000000001
grid-2987019-m2,0.395,0.385,0.395,0.545,468,-1.0000000000000009,-21.999999999999996
grid-2987019-m3,0.575,0.595,0.575,0.575,97,2.0000000000000018,16.999999999999993
